image_dir,description,text
..\train\data\output\divide_images_train\Capitulo 8\Comic8_008\panel_5.jpg,Escoria seems surprised and fits her look,
..\train\data\output\divide_images_train\Capitulo 8\Comic8_008\panel_6.jpg,A figure of a person is jumping on a roof in a city,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_001\panel_1.jpg,Escoria stands with a curious expression,!
..\train\data\output\divide_images_train\Capitulo 9\Comic9_001\panel_2.jpg,Edrei stands near a ledge and shows impacted,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_001\panel_3.jpg,Escoria turns her head to the right,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_001\panel_4.jpg,Escoria is grabbing Edrei's arm and walks. Edrei is looking throw a ledge,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_002\panel_1.jpg,Edrei is wanking with a hang grabbing his arm. He looks upset,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_002\panel_2.jpg,Edrei cries with a sad expression,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_003\panel_1.jpg,Escoria and Edrei are walking throw a street by night. Escoria puts her hand in Edrei's shoulder. They are turned back,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_003\panel_2.jpg,A hand push away Edrei. Edrei is walking turned back,¡AY!
..\train\data\output\divide_images_train\Capitulo 9\Comic9_004\panel_1.jpg,A hand is near Edrei. Edrei cries with a scared expression,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_004\panel_2.jpg,Escoria stands with both arma open,¿QUÉ NARICES TE PASA?
..\train\data\output\divide_images_train\Capitulo 9\Comic9_004\panel_3.jpg,Edrei cries with a sad expression and holds his arm,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_005\panel_1.jpg,Edrei is crying with a tired face,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_005\panel_2.jpg,Edrei turns away his head with an angry face. He is crying,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_005\panel_3.jpg,Escoria grunts and looks irritable,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_006\panel_1.jpg,Escoria has her eyes closed and calm expression,DÉJALO. VAMOS...
..\train\data\output\divide_images_train\Capitulo 9\Comic9_006\panel_2.jpg,A street  with a stairway,NO PUDIMOS EVITARLO...
..\train\data\output\divide_images_train\Capitulo 9\Comic9_007\panel_1.jpg,Escoria and Edrei are walking throw a street in the night,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_007\panel_2.jpg,Edrei and Escoria are entering a building with some lights. The building's door is open,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_008\panel_1.jpg,Escoria look back her with a concerned expression. A man is hiding behind a door,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_008\panel_2.jpg,A hand is possed in a door and opens it,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_008\panel_3.jpg,A woman is walking at night throw a termal garden,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_009\panel_1.jpg,A woman is swimming on a zen garden,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_009\panel_2.jpg,A woman is swimming and relax lying her head to a rock,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_010\panel_1.jpg,Edrei is sitted down with his arms en the belly. Edrei is sad.,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_011\panel_1.jpg,Escoria is naked and turned back. He is throwing water to her shoulder on a termal baths,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_011\panel_2.jpg,Edrei lies on a bed with a sad expression and cries,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_011\panel_3.jpg,A black covered book,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_012\panel_1.jpg,Escoria is sleepeng on a bed with red sheets,
..\train\data\output\divide_images_train\Capitulo 9\Comic9_012\panel_2.jpg,Edrei is sanding and looking throw a window. The moon lights in the night,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_001\panel_1.jpg,A ship is sealing throw the sea,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_001\panel_2.jpg,Edrei leans on a wall with a sad expression,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_002\panel_1.jpg,A hand lean on a wall,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_002\panel_2.jpg,Edrei with a sad expression,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_002\panel_3.jpg,Escoria is standing with her arms closed and a relaxed face,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_003\panel_1.jpg,The reflecion of the water,¿TODO BIEN?
..\train\data\output\divide_images_train\Capitulo 10\Comic10_003\panel_2.jpg,Edrei look at his right with a sad expression,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_004\panel_1.jpg,Edrei sights with a sad expression,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_004\panel_2.jpg,Edrei is turned back and talks,¿CÓMO LO HACES? UN ELFO HA MUERTO POR NUESTRA CULPA. Y SU MUERTE NO PARECE HABERTE AFECTADO
..\train\data\output\divide_images_train\Capitulo 10\Comic10_005\panel_1.jpg,Escoria stands with her arms crossed and look at her left with a confused face,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_005\panel_2.jpg,Escoria leans on a wall and talks with a curious expression,Y NO LO HA HECHO. ¿RECUERDAS TU PRIMER BESO? ¿Y EL SEGUNDO?
..\train\data\output\divide_images_train\Capitulo 10\Comic10_005\panel_3.jpg,Edrei looks scared,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_006\panel_1.jpg,Escoria is looking with a curious expression,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_006\panel_2.jpg,Escoria talks with a serious and sad expression,HE MATADO A MUCHOS. HE PARTICIPADO EN BATALLAS Y MIS MANOS ESTAN MANCHADAS DE SANGRE. LO QUE LE OCURRIÓ AL ELFO NO ES CULPA NUESTRA. Y EN EL FONDO LO SABES
..\train\data\output\divide_images_train\Capitulo 10\Comic10_007\panel_1.jpg,The reflection of the water with a shadow on it,LA PRIMERA VEZ QUE MATES DE VERDAD LO RECORDARAS POR SIEMPRE. ES UN PRIMER BESO MUY AMARGO
..\train\data\output\divide_images_train\Capitulo 10\Comic10_008\panel_1.jpg,A hand is reaching a book in a library,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_008\panel_2.jpg,A person holds a book between his hands,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_008\panel_3.jpg,A library with a big window enlightning inside and a carpet on the floor,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_009\panel_1.jpg,A man is studying a book and writing in a library,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_009\panel_2.jpg,A man is writing and a hand grabs a book near him,PLOP
..\train\data\output\divide_images_train\Capitulo 10\Comic10_010\panel_1.jpg,A girl hold her head with the arm and looks curious,MIRA
..\train\data\output\divide_images_train\Capitulo 10\Comic10_010\panel_2.jpg,A girl adjusts her hair with a cheerful gesture,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_010\panel_3.jpg,A man gets scared with a look of surprise,¿TAN DIFÍCIL TE PARECE EL EXAMEN DE TRANSMUTACIÓN? EEEK!
..\train\data\output\divide_images_train\Capitulo 10\Comic10_010\panel_4.jpg,A man has a surprise expression and talks,¡LEAH! QUÉ SUSTO ME HAS DADO...
..\train\data\output\divide_images_train\Capitulo 10\Comic10_011\panel_1.jpg,Notes and a book are on a table with ink on their,QUIERO DESTACAR EN EL EXAMEN. SE RUMOREA QUE EL QUE TENGA UN BUEN RESULTADO TENDRÁ PERMISOS PARA UNA INVESTIGACIÓN
..\train\data\output\divide_images_train\Capitulo 10\Comic10_011\panel_2.jpg,A girl smiles with a happy expression,AAAH. SI ESE RUMOR YA LO HE OÍDO YA
..\train\data\output\divide_images_train\Capitulo 10\Comic10_011\panel_3.jpg,A girl is about to cry with a sad expression,¿Y NO TE IMPORTA QUE SI TE DESTACAS Y TE LLEVAN A LA INVESTIGACIÓN ME DEJARÁS SOLA CON LA PANDA DE IMBÉCILES DE CLASE?
..\train\data\output\divide_images_train\Capitulo 10\Comic10_011\panel_4.jpg,Two men are sitting on a table and laughing. A man and a girl are turned bak seeing at them,EEK!
..\train\data\output\divide_images_train\Capitulo 10\Comic10_012\panel_1.jpg,A man hold his head with his arm with an upset expression,TÚ NO ERES EL PROBLEMA. NO TE MOLESTARÁN. SABES PERFECTAMENTE QUE NO ME SOPORTAN
..\train\data\output\divide_images_train\Capitulo 10\Comic10_012\panel_2.jpg,A girl is looking to her right,YO TAMPOCO LO HAGO. PERO TIENES LOS APUNTES MÁS ORDENADOS DE TODOS. ALGO TENDRÉ QUE SACRIFICAR ¿NO?
..\train\data\output\divide_images_train\Capitulo 10\Comic10_012\panel_3.jpg,A man makes a pain gesture,¡AY! QUÉ CRUEL
..\train\data\output\divide_images_train\Capitulo 10\Comic10_012\panel_4.jpg,A man and a girl are laughing in a library with a fun expression,JAJAJAJA
..\train\data\output\divide_images_train\Capitulo 10\Comic10_012\panel_5.jpg,,!VALE! POR CIERTO. TIENES LA MANO MANCHADA DE TINTA
..\train\data\output\divide_images_train\Capitulo 10\Comic10_013\panel_1.jpg,A man has a shocked and scared expression,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_014\panel_1.jpg,A person is covered with a sheet and blood splites down,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_014\panel_2.jpg,A man is extending his arm with a terror expression. Two soldiers are gabbing him violently,¡¡YO NO QUERÍA!!
..\train\data\output\divide_images_train\Capitulo 10\Comic10_015\panel_2.jpg,Escoria an Edrei are leanning in a wall. Escoria has her arms crossed and a curious expression. Edrei is ytouching his lips and he looked sad,
..\train\data\output\divide_images_train\Capitulo 10\Comic10_015\panel_3.jpg,,.CIERTO. ES UN BESO MUY AMARGO.
..\train\data\output\divide_images_train\Capitulo 10\Comic10_015\panel_4.jpg,Edrei touch his cheek with a sad expression,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_001\panel_1.jpg,Edrei and Escoria are walking due a ship board,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_001\panel_2.jpg,Edrei looks tired. Escoria is holding a leather stripe and seems to be looking forward,CON SUERTE EL CAMINO NO ES MUY LARGO. SI ENCONTRAMOS A ALGUIEN QUE VAYA DIRECTO. SIN PARAR EN OTROS PUEBLOS A COMERCIAR SI. ESO ESTARÍA BIEN
..\train\data\output\divide_images_train\Capitulo 11\Comic11_001\panel_3.jpg,A man leans on a wagon with one horse and greets,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_001\panel_4.jpg,Escoria smiles with a cheerful expression,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_002\panel_1.jpg,A bald man with a gray beard stands with a humble expression,PACO ¿VAS PARA EL PUEBLO?
..\train\data\output\divide_images_train\Capitulo 11\Comic11_002\panel_2.jpg,A bald man with a gray beard smiles with a happy face,SI. YA VA SIENDO HORA DE VOLVER. ES UNA CASUALIDAD AGRADABLE QUE NOS VOLVAMOS A ENCONTRAR
..\train\data\output\divide_images_train\Capitulo 11\Comic11_002\panel_3.jpg,A bald man with a gray beard has a curious face,?
..\train\data\output\divide_images_train\Capitulo 11\Comic11_002\panel_4.jpg,Edrei looks upset and sad,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_003\panel_1.jpg,Escoria is going up a wagon near a horse. A bald bearded man point inside. Edrei walks turned back near a wagon's wheel,SUBID PA'RRIBA. QUE SALIMOS YA ¡ARRIBA!
..\train\data\output\divide_images_train\Capitulo 11\Comic11_003\panel_2.jpg,Escoria is sitted sharpening her sword. A bald bearded man hold a leather stripes,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_003\panel_3.jpg,A bald man with a beard looks back himself. Edrei is reading a book,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_004\panel_1.jpg,Edrei has a tired expression,NO HA SIDO ESPECIALMENTE AGRADABLE
..\train\data\output\divide_images_train\Capitulo 11\Comic11_004\panel_2.jpg,A bald man with a beard laughs funny,ESO SIEMPRE DECÍA MI MADRE
..\train\data\output\divide_images_train\Capitulo 11\Comic11_004\panel_3.jpg,Edrei's face looks upset and sad,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_004\panel_4.jpg,Edrei turns his head with a tired face,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_004\panel_5.jpg,Escoria turns her head back and look with a sad expression,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_005\panel_1.jpg,Escoria turns her head back and look with a sad expression,EDREI. NO LO HEMOS HABLADO. ¿PORQUE QUERÍAN MATARTE?
..\train\data\output\divide_images_train\Capitulo 11\Comic11_005\panel_2.jpg,A bearded bald man has a shocked and surprised expression,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_005\panel_3.jpg,Edrei looks down and tired,NO LO SÉ
..\train\data\output\divide_images_train\Capitulo 11\Comic11_005\panel_4.jpg,Escoria turns back herself with an aggresive and impatient look,¿DINERO. VENGANZA? SE QUE VIENES DE FAMILIA RICA. PERO NUNCA TE LO HE PREGUNTADO. PENSABA QUE ABANDONARÍAS A LA PRIMERA DE CAMBIO
..\train\data\output\divide_images_train\Capitulo 11\Comic11_006\panel_1.jpg,Edrei closes a book and look behind his shoulder,¿CREES QUE PUEDE SER POR MI FAMILIA?
..\train\data\output\divide_images_train\Capitulo 11\Comic11_006\panel_2.jpg,Escoria turns herself back with a worried face,ES UNA POSIBILIDAD ¿DE QUÉ FAMILIA VIENES? NO ES QUE FALTE NOBLEZA EN ESTE IMPERIO
..\train\data\output\divide_images_train\Capitulo 11\Comic11_006\panel_3.jpg,Edrei closes a book and looks up his shoulder,GREYHERZ MI MADRES ES LA PRIMA HERMANA DE LA EMPERATRIZ LUREENE VON DREICHEN
..\train\data\output\divide_images_train\Capitulo 11\Comic11_006\panel_4.jpg,A bald man with a gray beard shivers and has a shocked face,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_006\panel_5.jpg,A bald man with a beard look back his shoulder and has a nervous expression,CONFIANZA
..\train\data\output\divide_images_train\Capitulo 11\Comic11_007\panel_1.jpg,Escoria is sitted. Palms her face and holds a sword between her legs,SUSPIRA Y CLARO ESO NO ES MOTIVO PARA MATARTE
..\train\data\output\divide_images_train\Capitulo 11\Comic11_007\panel_2.jpg,Escoria shouts with a furious expression,SI ME PAGASEN POR CADA INTENTO DE ASESINATO ENTRE NOBLES...
..\train\data\output\divide_images_train\Capitulo 11\Comic11_007\panel_3.jpg,A village in the midle of the forest. Smoke are lifting to the sky on the village,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_008\panel_1.jpg,Escoria and a bearded man are sitted on a wagon,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_008\panel_2.jpg,Escoria shouts in hurry,¡RÁPIDO VIENE DEL PUEBLO! ESPERO QUE SE LE OLVIDASE A ALGUIEN UN FUEGO O QUE ESTÉN CELEBRANDO ALGO
..\train\data\output\divide_images_train\Capitulo 11\Comic11_008\panel_3.jpg,A man with a beard has a shock and surprised expression,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_008\panel_4.jpg,Smoke,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_008\panel_5.jpg,A village is burning and fire is coming out the windows,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_009\panel_1.jpg,Escoria Edrei and a bald man with a beard are near a wagon in a burned town. Escoria holds a sword and the man puts his hands on the head,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_009\panel_2.jpg,A boot touch a hand with marks of burn,PLOP
..\train\data\output\divide_images_train\Capitulo 11\Comic11_009\panel_3.jpg,Escoria looks scared and surprised,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_009\panel_4.jpg,A kid lies dead on the floor and a boot touch his arm,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_010\panel_1.jpg,Edrei has a concerned face. Escoria burns in heat with an angry face. A beard bald man looks sad,
..\train\data\output\divide_images_train\Capitulo 11\Comic11_010\panel_2.jpg,,PACO. VE A BUSCAR AYUDA
..\train\data\output\divide_images_train\Capitulo 11\Comic11_010\panel_3.jpg,Escoria has an angry face and has a heat aura around her,YO BUSCARÉ A QUIÉN HIZO ESTO
..\train\data\output\divide_images_train\Capitulo 12\Comic12_001\panel_1.jpg,Escoria walks near a burned building with a serious expression,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_001\panel_2.jpg,Edrei stands near Escoria and look at her with a worried face. Escoria seems angry,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_001\panel_3.jpg,Escoria lift her look with an angry expression,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_002\panel_1.jpg,A minotaur with a golden plate is standing next to a well in a burned village,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_002\panel_2.jpg,A minotaur smiles and look to the front,TE ESPERABA
..\train\data\output\divide_images_train\Capitulo 12\Comic12_002\panel_3.jpg,Escoria takes a sword from her back with a furious expression,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_002\panel_4.jpg,Escoria has an angry face,¿HAS SIDO TÚ?
..\train\data\output\divide_images_train\Capitulo 12\Comic12_003\panel_1.jpg,A minotaur is looking al a dead person,NO TODOS...
..\train\data\output\divide_images_train\Capitulo 12\Comic12_003\panel_2.jpg,Escoria has a furious and angry face,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_003\panel_3.jpg,Escoria swings her sword with fury,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_004\panel_1.jpg,Escoria attacks a minotaur with a sword. The minotaurs defends himself with a shield,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_004\panel_2.jpg,A minotaur charges with a shield and lifts a punch,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_004\panel_3.jpg,The minotaur punches Escoria on the belly with brute force. Escoria holds a sword and look in pain,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_005\panel_1.jpg,Escoria splites blood from her mouth and has a painfull expression,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_005\panel_2.jpg,Escoria steps back at Edrei's side holding her sword. Edrei seems surprised and holds his wand,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_005\panel_3.jpg,Edrei moves her magic wand and cast a spell,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_006\panel_1.jpg,A hoof crackes the floor with a powerful impact,CRACK
..\train\data\output\divide_images_train\Capitulo 12\Comic12_006\panel_2.jpg,A minotaur with a red cape charges forward and lifts his shield,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_006\panel_3.jpg,the minotaur punches Edrei at the stomach with an agry face. Edrei drops his wand and looks scared,APARTA NIÑO
..\train\data\output\divide_images_train\Capitulo 12\Comic12_007\panel_1.jpg,A minotaur with a red cloack pushes away Edrei by brute force,AAAAAAAAAAAAAAHH!!!
..\train\data\output\divide_images_train\Capitulo 12\Comic12_007\panel_2.jpg,Escoria looks impacted and worried. A line of blood is coming out her mouth,EDREI!!!
..\train\data\output\divide_images_train\Capitulo 12\Comic12_008\panel_1.jpg,Edrei lies on the floor without moving in a painful pose,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_008\panel_2.jpg,Escoria has a furious face and looks with rage,¡ME LAS PAGARÁS!
..\train\data\output\divide_images_train\Capitulo 12\Comic12_008\panel_3.jpg,Escoria has a cloack and charges forward with a sword enraged,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_009\panel_1.jpg,The minotaur takes the sword between his arm and chest and smiles. Holds a golden shield,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_009\panel_2.jpg,A golden shield impacts the side of a sword and cracks it,CRACK!!
..\train\data\output\divide_images_train\Capitulo 12\Comic12_009\panel_3.jpg,A minotaur with a red cape and a gold armor smiles,SOLO ERES FUERZA BRUTA
..\train\data\output\divide_images_train\Capitulo 12\Comic12_010\panel_1.jpg,Escoria kneels with both hands on the floor. A strong arm shows its punch,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_010\panel_2.jpg,Escoria shouts in rage and flames start to twistes around her,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_011\panel_1.jpg,A minotaur covers with his red cloack and fire are in front of him,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_011\panel_2.jpg,Escoria breathes heavyly with a furious look,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_011\panel_3.jpg,A red cape smokes in heat,
..\train\data\output\divide_images_train\Capitulo 12\Comic12_012\panel_1.jpg,A minotaur with a golden shield and armor and a red cloac is standing linfting his hand,¿ME TOMARÁS EN SERIO AHORA MUCHACHA?
..\train\data\output\divide_images_train\Capitulo 12\Comic12_012\panel_2.jpg,,CAPÍTULO II : FIN
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_001\panel_1.jpg,A minotaur with a red cape and a golden shield is running forward,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_001\panel_2.jpg,A minotaur lifts his punch near to Escoria,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_1.jpg,A punch impacts Escoria's stomach with a powerfull blow. Escoria looks shocked,BAAM!!!
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_2.jpg,Escoria holds her belly in pain and sploites blood,AGHH!!
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_3.jpg,Escoria cries with a painful face. Shows her teeth and blood is coming aout from her lips,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_4.jpg,Escoria runs and charges about to punch in front of her with a furious face,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_003\panel_1.jpg,Escoria punch a minotaur in the face. The minotaur has a pain expression and his eyes closed. Escoria looks angry and strong,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_003\panel_2.jpg,Escoria jumps and fights a minotaur. The minotaur is turned back and seems surprised,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_003\panel_3.jpg,The minotaur blocks an attack with his shield and smiles,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_1.jpg,Escoria punches and attacks with fire a minotaur. The minotaur smiles and blocks the attack with his shield,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_2.jpg,A fire explosion,KABOOOM!!!
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_3.jpg,A fire explosion,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_4.jpg,The minotaurs covers himself with a golden shield. Fire comes from his side,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_5.jpg,The minotaur charges with his shield and punch. He smiles,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_005\panel_1.jpg,A minotaur with a red cloack and a yellow shield punches Escoria with force,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_005\panel_2.jpg,Escoria flies away and splits blood,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_005\panel_3.jpg,The minotaur continues charging with his shield,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_006\panel_1.jpg,Escoria falls near a village and a minotaur is watching her,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_006\panel_2.jpg,A minotaur runs and grabs the body of Escoria,AGARRA
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_007\panel_1.jpg,Escoria grunts and shows her teeth near a burned house,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_007\panel_2.jpg,Escoria craches with a wall in a terrible impact. He screams in pain,PAM!!
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_008\panel_1.jpg,A minotaur runs and grabs Escoria's body passing throw a wall and destroying it,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_008\panel_2.jpg,Escoria crashes her back in a wall,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_008\panel_3.jpg,Escoria look defeated between a pile of rocks and has a painfull expression,NGH...
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_009\panel_1.jpg,Escoria is sitted on the floor and lifts her feet with an angry face,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_009\panel_2.jpg,Escoria kicks a minotaur. The minotaur drops his shield and flies away,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_009\panel_3.jpg,A burned ruins of a house,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_010\panel_1.jpg,A minotaur with a red cloack kneels on the floor with furious face. He lands in a strong impact,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_010\panel_2.jpg,Escoria is walking throw a ruins with heat bhighting around her,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_010\panel_3.jpg,Escoria shouts in fury with rage. Fire is spawning from her back,¡¡TE MATARÉ!!!
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_011\panel_1.jpg,A minotaur with a golden armor and a red cape moves his hands with fire sparks ¡,¡INTENTALO!
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_011\panel_2.jpg,Escoria is running with fire in her arms and shouts furiously,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_011\panel_3.jpg,A minotaur is running throw fire sparks,
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_012\panel_1.jpg,The minotaur granbs Escoria's face and stomps it to the ground,PLAF!
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_012\panel_2.jpg,A minotaur tands with a golden armor looking from above,SÓLO ERES RABIA Y MÚSCULO
..\train\data\output\divide_images_train\Capitulo 12-2\Comic12-2_012\panel_3.jpg,Escoria lies on the floor wounded and passed away. The floor have cracks on it from an impact,NO HE TENIDO NI QUE USAR MIS ARMAS
