rank,artists,title,subgénero,genre,lyric,Violencia verbal,Violencia Física,Violencia Psicológica,Violencia Sexual,VIolencia Económica,Violencia Simbólica,Apto para niñxs,CONTENIDO PARA GENTE ADULTA ,OBSERVACION,Fuente 
1,Maluma,Hawai,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Maluma/Haw%C3%A1i,0,0,1,0,0,0,0,,,Billboard 
2,"Sech, Daddy Yankee, J Balvin Featuring ROSALIA, Farruko",Relacion,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Sech/Relaci%C3%B3n,0,0,1,0,0,0,0,,,Billboard 
3,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/J-Balvin-Tainy-Dua-Lipa-Bad-Bunny/UN-DIA-ONE-DAY-Tainy,0,0,1,0,0,0,0,,,Billboard 
4,Ozuna,Caramelo,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Ozuna/Caramelo,0,0,1,0,0,0,0,,,Billboard 
5,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Nio-Garcia-Brray-Juanka/La-Jeepeta,0,0,0,1,0,0,0,,,Billboard 
6,Karol G,"Ay, Dios Mio!",Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Karol-G/Ay-DiOs-M%C3%ADo,0,0,0,0,0,0,0,1,,Billboard 
8,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/The-Black-Eyed-Peas-J-Balvin/RITMO-Bad-Boys-For-Life,0,0,0,0,0,0,0,1,,Billboard 
9,Tainy x J Balvin,Agua,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Tainy-J-Balvin/Agua-with-J-Balvin-Music-From-Sponge-On-The-Run-Movie,0,0,0,0,0,0,0,1,,Billboard 
10,"Ozuna, Doja Cat & Sia",Del Mar,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Ozuna-Doja-Cat-Sia/Del-Mar,1,0,0,0,0,0,0,,,Billboard 
11,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Black-Eyed-Peas-Ozuna-J-Rey-Soul/MAMACITA,0,0,0,0,0,1,0,,,Billboard 
12,Los Dos Carnales,El Envidioso,Banda ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Los-Dos-Carnales/El-Envidioso,0,0,0,0,0,0,0,1,,Billboard 
13,"Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles",Porfa,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Feid-Justin-Quiles/Porfa,0,0,0,0,0,1,0,0,,Billboard 
14,DJ Nelson Presenta Jay Wheeler & Myke Towers,La Curiosidad,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Jay-Wheeler-DJ-Nelson-Myke-Towers/La-Curiosidad,0,0,0,0,0,0,0,1,,Billboard 
15,ROSALIA & Travis Scott,TKN,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/ROSAL%C3%8DA-4/TKN,0,0,,,,,,1,Mucho inglés ,Billboard 
16,Farruko,La Toxica,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Farruko/La-T%C3%B3xica,0,1,0,0,0,0,0,1,,Billboard 
17,Ozuna x Arcangel x Cosculluela x Wisin x Myke Towers x Juanka,Enemigos Ocultos,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Ozuna-Wisin-Myke-Towers-Arcangel-Juanka-Cosculluela/Enemigos-Ocultos,1,0,0,0,0,0,0,0,,Billboard 
18,Eslabon Armado,Con Tus Besos,Regional mexicano ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Eslabon-Armado/Con-Tus-Besos,0,0,0,0,0,0,0,1,,Billboard 
19,Maluma,ADMV,Reggeaton ,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Maluma/ADMV,0,0,1,0,0,0,0,1,,Billboard 
20,6ix9ine,YaYa,,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/6IX9INE/YAYA,1,0,0,0,0,0,0,0,,Billboard 
21,Christian Nodal,Aqui Abajo,Regional mexicano,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Christian-Nodal/Aqu%C3%AD-Abajo,0,0,0,0,0,1,0,1,"Insita a tomar, fumar",Billboard 
22,Jhay Cortez & Bad Bunny,Como Se Siente,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Jhay-Cortez-2/Como-Se-Siente,0,0,0,1,0,0,0,1,habla mucho sobre una relación sexual,Billboard 
23,Natti Natasha,Que Mal Te Fue,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/search/que%20mal%20te%20fue,0,0,0,0,0,1,0,1,,Billboard 
24,Carin Leon,Tu,Romantica,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Carin-Leon/T%C3%BA,0,0,0,0,0,1,0,0,,Billboard 
25,"Play N Skillz, Daddy Yankee & Zion & Lennox",Besame,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Play-N-Skillz-Daddy-Yankee-Zion-Lennox/B%C3%A9same,0,0,0,0,0,1,0,1,,Billboard 
26,Anuel AA & Bad Bunny,Hasta Que Dios Diga,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Anuel-AA-Bad-Bunny-1/Hasta-Que-Dios-Diga,0,0,0,1,0,0,0,1,,Billboard 
27,Banda MS de Sergio Lizarraga & Snoop Dogg,Que Maldicion,Regional mexicano,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Banda-Sinaloense-MS-de-Sergio-Lizarraga/Qu%C3%A9-Maldici%C3%B3n,0,0,0,0,0,0,0,1,,Billboard 
28,Ozuna X Wisin,Gistro Amarillo,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Ozuna-Wisin/Gistro-Amarillo,0,0,0,1,0,0,0,1,,Billboard 
29,Yandel X Bad Bunny,Cancion Con Yandel,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Yandel-Bad-Bunny/CANCI%C3%93N-CON-YANDEL,0,0,0,0,0,1,0,1,,Billboard 
30,El Fantasma & Los Dos Carnales,Cabron y Vago,Regional mexicano,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/El-Fantasma-feat-Los-Dos-Carnales/Cabr%C3%B3n-y-Vago-En-Vivo,1,0,0,0,0,0,0,0,,Billboard 
31,"Justin Quiles, Daddy Yankee & El Alfa",PAM,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/lyrics/Justin-Quiles-Daddy-Yankee-El-Alfa/PAM-Daddy-Yankee-El-Alfa/translation/english,0,0,0,0,0,1,0,1,,Billboard 
32,Myke Towers,Diosa,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Myke-Towers/Diosa,0,0,0,0,0,1,0,1,,Billboard 
33,Ozuna x Camilo,Despeinada,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Ozuna-Camilo/Despeinada,0,0,0,0,0,1,0,1,,Billboard 
34,Jowell & Randy & J Balvin,Anaranjado,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Jowell-Randy-feat-J-Balvin-2/Anaranjado,0,0,0,1,0,0,0,1,,Billboard 
35,Ozuna & Daddy Yankee,No Se Da Cuenta,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Ozuna-Daddy-Yankee/No-Se-Da-Cuenta,0,0,0,1,0,0,0,1,,Billboard 
36,Los 2 de La S & Banda MS de Sergio Lizarraga,Somos Los Que Somos,Regional mexicano,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Los-2-de-la-S-Banda-Sinaloense-MS-de-Sergio-Liz%C3%A1rraga/Somos-Los-Que-Somos-En-Vivo,0,0,0,0,0,0,0,0,,Billboard 
37,Ir-Sais x Rauw Alejandro,Dream Girl,,HOT LATIN SONGS,,,,,,,,,,Restringida en musicmatch,Billboard 
38,Junior H,Mente Positiva,reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Junior-H/Mente-Positiva,0,0,0,0,0,1,0,1,,Billboard 
39,J Balvin,Azul,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/J-Balvin-10/Azul,0,0,0,0,0,1,0,1,,Billboard 
40,"Ozuna, J Balvin & Chencho Corleone",Una Locura,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Ozuna-J-Balvin-Chencho-Corleone/Una-Locura,0,0,0,0,0,1,0,1,,Billboard 
41,Los Dos Carnales,Vida Ventajosa,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Los-Dos-Carnales/Vida-Ventajosa,0,0,0,0,1,0,0,1,,Billboard 
42,Anuel AA,Reggaetonera,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Anuel-AA-4/Reggaetonera,0,0,0,0,0,1,0,1,,Billboard 
43,Jerry Di,Mi Cuarto,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Jerry-Di/Mi-Cuarto,0,0,0,0,0,1,0,1,,Billboard 
44,Lunay,Relaciones,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Lunay/Relaciones,0,0,0,1,0,0,0,1,,Billboard 
45,Aya Nakamura Featuring Maluma,Djadja (Remix),Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Aya-Nakamura/Djadja,0,0,0,0,0,0,0,1,La cancion esta en frances,Billboard 
46,Grupo Firme Featuring Los Contacto,El Roto,Regional Musical,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Grupo-Firme-1/El-Roto-En-Vivo,1,0,0,0,0,0,0,1,,Billboard 
47,Anuel AA & Enrique Iglesias,Futbol & Rumba,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Anuel-AA-Enrique-Iglesias/F%C3%BAtbol-y-Rumba,1,0,0,0,0,0,0,1,,Billboard 
48,Eslabon Armado,Dame Tu Calor,Romantica,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Eslabon-Armado/Dame-Tu-Calor,0,0,0,0,0,0,1,1,,Billboard 
49,Anuel AA,Narcos,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Anuel-AA-4/Narcos,1,0,0,0,0,1,0,1,,Billboard 
50,Maluma & Myke Towers,Madrid,Reggaeton,HOT LATIN SONGS,https://www.musixmatch.com/es/letras/Maluma-Myke-Towers/Madrid,0,0,0,0,0,1,0,1,,Billboard 