rank,artists,title
1,EL FANTASMA,PALABRA DE HOMBRE
2,CHRISTIAN NODAL,SE ME OLVIDÓ
3,EL FANTASMA,ENCANTADORA
4,JOAN SEBASTIAN FT. CALIBRE 50,QUE SEA
5,JULION ALVAREZ,CUANDO TE AME
6,CALIBRE 50,SOLO TU
7,CHRISTIAN NODAL,AQUI ABAJO
8,BANDA LOS SEBASTIANES,A TRAVÉS DEL VASO
9,CALIBRE 50,POR QUÉ CAMBIASTE DE OPINIÓN
10,CHRISTIAN NODAL,NADA NUEVO
11,EL FANTASMA,BORRACHO DE COCHERA
12,PANCHO BARRAZA,POR QUE
13,CALIBRE 50,SIMPLEMENTE GRACIAS
14,JULION ALVAREZ,MAS TE RECUERDO
15,PANCHO BARRAZA,LA MUJER QUE AMO
16,JULION ALVAREZ,TE LO ESTOY AFIRMANDO
17,CHRISTIAN NODAL,NO TE CONTARON MAL
18,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,ESCONDIDOS
19,VOZ DE MANDO,QUITATE LA CARETA
20,EL FANTASMA,EL CIRCO
21,CALIBRE 50,BARQUILLERO
22,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ME HICISTE UN BORRACHO
23,"ALEJANDRO FERNANDEZ,CALIBRE 50",DECEPCIONES
24,BANDA MS,POR SIEMPRE MI AMOR
25,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,LO QUE NUNCA SERA
26,REMMY VALENZUELA,QUE LEVANTE LA MANO
27,LA ARROLLADORA BANDA EL LIMÓN,NO HE LOGRADO APRENDER
28,BANDA LOS SEBASTIANES,CUANTO A QUE TE OLVIDO
29,REMMY VALENZUELA,MENTIRAS
30,"ALFREDO OLIVAS,JULION ALVAREZ",SIN MEMORIA
31,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ME HUBIERAS AVISADO
32,JOSS FAVELA,YA NO QUIERO ANDAR CONTIGO
33,JARY FRANCO,DILE
34,BANDA MS,POR MI NO TE DETENGAS
35,LA ARROLLADORA BANDA EL LIMÓN,TU ERES LA RAZON
36,BANDA LOS RECODITOS,ESTO VA POR TI
37,ALDO TRUJILLO,"TODOS HABLAN,NADA SABEN"
38,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,NI MIL BORRACHERAS
39,BANDA CARNAVAL,OLVIDARTE COMO
40,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,EL AMOR DE MI VIDA
41,JORGE MEDINA,ESPERO QUE TU
42,ALFREDO OLIVAS,MEDALLA DE PLATA
43,BANDA CARNAVAL,ESTA VEZ SOY YO
44,CHRISTIAN NODAL,DE LOS BESOS QUE TE DI
45,EL BEBETO,MI PERSONA PREFERIDA
46,CRISTIAN JACOBO,MEJOR RECUERDA
47,JORGE MEDINA,PORQUE TU LLEGASTE
48,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,TRES BOTELLAS
49,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,EN UN DIA COMO HOY
50,LA ARROLLADORA BANDA EL LIMÓN,AHORA QUE ME ACUERDO
51,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,CON TODO INCLUIDO
52,BANDA CARNAVAL,SUEÑA
53,EL BEBETO,QUE TE DUELA MAS QUE A MI
54,JORGE MEDINA,ASI O MAS CLARO
55,LA ARROLLADORA BANDA EL LIMÓN,MIA DESDE SIEMPRE
56,"BANDA EL RECODO,DAVID BISBAL",GRACIAS POR TU AMOR
57,BANDA LOS RECODITOS,PERFECTA
58,PANCHO BARRAZA,UN SUEÑO
59,LOS HIJOS DE BARRON,PARA NO QUEDARTE MAL
60,BANDA MS,MEJOR ME ALEJO
61,ALFREDO OLIVAS,EL SILLON
62,BANDA LOS RECODITOS,TE DARÁN GANAS DE VERME
63,LA ARROLLADORA BANDA EL LIMÓN,CEDI
64,EL BEBETO,TE QUISE OLVIDAR
65,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,DORMIDA
66,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,MI SOLEDAD
67,LOS ROJOS,EL ALUMNO
68,ALFREDO OLIVAS,VOLVERA
69,LOS ROJOS,FUIMOS
70,LA ARROLLADORA BANDA EL LIMÓN,IGUAL
71,ALFREDO OLIVAS,A ESTAS HORAS
72,EL FANTASMA,EN EL CAMINO
73,FIDEL RUEDA,CADA QUIEN POR DONDE VINO
74,BANDA CARNAVAL,VAS A ESTAR BIEN
75,LA ARROLLADORA BANDA EL LIMÓN FT. ESPINOZA PAZ,TIENE RAZÓN LA LÓGICA
76,JOAN SEBASTIAN,HOY TENGO MIEDO
77,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ES MUY IRRESPONSABLE
78,BANDA LOS SEBASTIANES,MI META CONTIGO
79,JARY FRANCO,NO ME ENSEÑASTE
80,SOMOS 3 FT. JULION ALVAREZ,SOÑE
81,JARY FRANCO,NO TE MIENTO
82,LOS HIJOS DE BARRON,MI ARREPENTIMIENTO
83,LOS DOS CARNALES,EL ENVIDIOSO
84,BANDA MS,NO ELEGÍ CONOCERTE
85,BANDA LA EJECUTIVA,DILE
86,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,TU NOMBRE
87,BANDA LOS SEBASTIANES,NO ME MIRES ASI
88,JOSS FAVELA,LA MAGIA DE TUS OJOS
89,BANDA EL RECODO,DE TI ME ENAMORE
90,DIEGO HERRERA,HASTA QUE CANTE EL GALLO
91,BANDA SELECTIVA DE ÁNGEL ROMERO EL TACUACHE FT. AHIJADOS DEL RANCHO,SOY EL INGE
92,BANDA EL RECODO FT EDITH MARQUEZ,TU ME OBLIGASTE
93,BANDA LA EJECUTIVA,NO ES NORMAL
94,GRUPO CAÑAVERAL,5 MINUTOS
95,BANDA LOS RECODITOS,ELEGISTE UN ERROR
96,RAYMIX FT. PAULINA RUBIO,TU Y YO
97,LOS TIGRES DEL NORTE,LA PRISION DE FOLSOM
98,ESPINOZA PAZ,TOMANDO ANDO
99,BANDA SELECTIVA DE ANGEL ROMERO EL TACUACHE,CON UN VASO DE AGUA
100,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,EL PISTOLERO
101,CALIBRE 50,TE VOLVERÍA A ELEGIR
102,DUELO,A PUNTO DE EMPEZAR
103,PESADO,EN CAMBIO ELLA
104,RAYMIX,TU ERES LA RAZON
105,LOS PERDIDOS DE SINALOA,NOMAS ESTE REY
106,ELSA RIOS,NO SERE YO
107,BANDA LOS SEBASTIANES,ME VOY A IR
108,CHAYIN RUBIO,LA DOSIS PERFECTA
109,JARY FRANCO,BIPOLAR
110,CALIBRE 50,CHALITO
111,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,SEGUN TUS LABIOS
112,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,SI YA NO ME QUIERES
113,LOS ROJOS,RUMBALE
114,LUPILLO FT JENNI RIVERA,QUE ME ENTIERREN CANTANDO
115,PESADO,ME SIGUE CALANDO
116,PANCHO BARRAZA,LA FUERZA DEL AMOR
117,LEANDRO RIOS,NI NOMBRE TENDRA
118,"BANDA TIERRA SAGRADA,ALANN MORA",EFECTO IRREVERSIBLE
119,GABRIEL VIVAL,PAJARILLO
120,BANDA TIERRA SAGRADA,NO ME FUE MUY BIEN CONTIGO
121,"LEANDRO RIOS,LOS NUEVOS FEDERALES",AUNQUE LE BESES LA BOCA
122,CALIBRE 50,MI SORPRESA FUISTE TU
123,"BANDA MS,SNOOP DOGG",QUE MALDICION
124,"LOS DE LA NORIA,CALIBRE 50",A LAS CUANTAS DECEPCIONES
125,"LEANDRO RIOS,MORENITO DE FUEGO",AMIGOS CON DERECHO
126,ALEJANDRO FERNANDEZ,TE OLVIDE
127,BETO ZAPATA,40 Y 21
128,"CHAYIN RUBIO,CRISTIAN JACOBO,NETO BERNAL,CHEYO CARRILLO",¿COMO TE ATREVES?
129,BETO ZAPATA,PERO TE VAS A ARREPENTIR
130,LUPILLO RIVERA,CUANDO ERAS MIA
131,"EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ADAN CONTERO",A LA VIDA LE APRENDI
132,DUELO,SI VOLVISTE A MI
133,LOS CALIZ,ME PROMETI
134,"LOS ANGELES AZULES,BELINDA",AMOR A PRIMERA VISTA
135,DIEGO HERRERA,MIL VECES
136,LOS PERDIDOS DE SINALOA,ESTAS PERDIDA
137,PESADO,ESTOY MEJOR SIN TI
138,BANDA EL RECODO,HUBIERA SIDO COMO TU
139,ALAN PINEDA,HASTA QUE NOS AMANEZCA
140,KIKIN Y LOS ASTROS,QUISIERA HABLAR DE TI
141,ALFREDO OLIVAS,EL DIA DE LOS MUERTOS
142,CHIQUIS RIVERA,ANIMATE Y VERAS
143,ESPINOZA PAZ,VANIDOSA
144,LEANDRO RIOS,SEÑORITA
145,RAYMIX,LLAMAME
146,LOS CARDENALES DE NUEVO LEON,PARTE DE MI HISTORIA
147,"LOS ANGELES AZULES,JULIETA VENEGAS",ACARIÑAME
148,"ALEJANDRO FERNANDEZ,MON LAFERTE",QUE SE SEPA NUESTRO AMOR
149,ELSA RIOS,DIVINA HASTA LA MUERTE
150,FIDEL RUEDA,TENGO GANAS
151,DIEGO HERRERA,EN TODOS LOS SENTIDOS
152,"KIKIN Y LOS ASTROS FT EDWIN LUNA,LOS PICADIENTES DE CABORCA",LA ORILLITA DEL MAR
153,ANA BARBARA,QUE POCA
154,LUIS ANGEL EL FLACO,REFLEXION
155,CARDENALES DE NL FT LOS CARNALES DE NL,QUE NADIE SEPA
156,CUARTO DE MILLA,MUY BONITA Y TODO
157,LOS CARNALES DE NUEVO LEON,PLAN B
158,ALEJANDRO FERNANDEZ,CABALLERO
159,"ANA BARBARA,CHRISTIAN NODAL",SOLOS
160,PEPE AGUILAR,FUE UN PLACER CONOCERTE
161,SAUL EL JAGUAR,PELLIZCAME
162,LUCERO,ME DESHICE DE TU AMOR
163,LOS CARDENALES DE NUEVO LEON,MI VIDA SIN TI
164,LOS PERDIDOS DE SINALOA,LO QUE YO SENTÍA
165,BANDA RENOVACION,NI QUE FUERAS LA MAS BUENA
166,FRANCISCO ELIZALDE,LAS 4 DE LA MAÑANA
167,GERARDO DIAZ Y SU GERARQUIA,NO QUISE DECIRLE
168,PIPE BUENO,SIN ROPA ERES MIA
169,CUARTO DE MILLA,AGARRO CAMINO
170,ARACELY ARAMBULA,MALAS NOTICIAS
171,LEGADO MYM,AHÍ TE QUEDAS CON TUS PENAS
172,BANDA RENOVACION,SUELE PASAR
173,"LOS ANGELES AZULES,ABEL PINTOS",Y LA HICE LLORAR
174,ELSA RIOS,EMBUSTERO
175,"ANA BARBARA,BRONCO",MI CORAZON
176,RAYITO COLOMBIANO,CANCHIS CANCHIS
177,LOS INQUIETOS DEL NORTE,MEXICO MEXICO
178,LEANDRO RÍOS FT. LORENZO DE MONTECLARO,YA BEBÍ
179,LOS CARNALES DE NUEVO LEON,SALUD CON AGUA
180,KIKIN Y LOS ASTROS,MALDITO VICIO
181,LA BANDONONONA CLAVE NUEVA,TE DESEO
182,JOVANNY CADENA Y SU ESTILO PRIVADO,YA NO QUEDA NADA
183,REGULO CARO,EL LUJO DE TENERTE
184,"ADRIEL FAVELA,GIOVANNY AYALA",NO TE ILUSIONES TANTO
185,AHIJADOS DEL RANCHO,MORI
186,"BANDA TIERRA SAGRADA,IMPERIO CALAVERA",ENTRE LO BUENO Y LO MALO
187,LOS INVASORES DE NUEVO LEON,LLEGO PARA QUEDARSE
188,SAUL EL JAGUAR,QUE TAL TE VA SIN MI
189,REGULO CARO,PIENSALO BIEN
190,ERNESTO SOLANO,EVA MARÍA
191,PABLO MONTERO,QUE ME DIGAN VIEJO
192,LOS CARNALES DE NUEVO LEON,NO SE QUE ME DISTE
193,LOS INVASORES DE NUEVO LEON,NO ME ARREPIENTO DE NADA
194,BANDA LA UNICA DEL RANCHO,CONVENCEME
195,BANDA RENOVACION,MUJER DE LA ESQUINA
196,LENIN RAMIREZ,ESTAS GANAS DE TOMAR
197,LUPILLO RIVERA,SALISTE LIVIANA
198,DIEGO HERRERA,LO QUE ME ENAMORA
199,"KIKIN Y LOS ASTROS,LEANDRO RIOS",ESPEJEANDO
200,LOS INVASORES DE NUEVO LEON,LA CASA EN VENTA
201,LEANDRO RIOS,A LAS CUANTAS HORAS?
202,KIKIN Y LOS ASTROS,MALDITA TRAICION
203,LOS CALIZ,NO SOY COMO TU
204,CUARTO DE MILLA,DOS BOTELLAS Y UN CIGARRO
205,PANCHO URESTI,DIME QUE NUMERO FUI
206,CRISTIAN JACOBO,CUANDO MENOS LO ESPERABA
207,LOS 2 DE LA S,LA MIRADA NUNCA MIENTE
208,LA GABBANA,ES MAS FACIL
209,LA ARROLLADORA BANDA EL LIMÓN,COMO SI YO FUERA PASTEL
210,CHAYIN RUBIO,YA ME ENTERE
211,CODIGO FN,ME GUSTAN ASI COMO TU
212,GABRIEL VIVAL,AGUANTATE
213,SAUL EL JAGUAR,POR AMOR A TI
214,LUCERO,A PESAR DE TODO
215,GRUPO CODICIADO,PARA QUE ME LAS DISTE
216,PIPE BUENO,CUPIDO FALLO
217,LOS INQUIETOS DEL NORTE,ENAMORADOS
218,LOS HURACANES DEL NORTE,YA DILE LA VERDAD
219,"ADRIEL FAVELA,JAVIER ROSAS",LA ESCUELA NO ME GUSTO
220,LOS YAGUARU,HABLARTE AL OIDO
221,BRONCO FT RICKY MUÑOZ,VOY A TUMBAR LA CASITA
222,BANDA MS,CERRANDO CICLOS
223,JENNI RIVERA,APARENTEMENTE BIEN
224,IMPERIO CALAVERA,EL PATROCINADOR
225,VIRLAN GARCIA,LLUVIA EN TUS PESTAÑAS
226,PABLO MONTERO,APRENDIMOS
227,BANDA SELECTIVA DE ANGEL ROMERO EL TACUACHE,A LA ORDEN PAL DESORDEN
228,LOS INVASORES DE NUEVO LEON,NO PODRIA OLVIDARTE
229,"CHRISTIAN NODAL,JUANES",TEQUILA
230,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,ATENTAMENTE TU PAPA
231,LOS HURACANES DEL NORTE,EL SAPO
232,LOS 2 DE LA S,EN PLURAL
233,VICENTE FERNANDEZ,YA NO INSISTAS CORAZON
234,BANDA TODO TERRENO,CORAZON
235,DIEGO HERRERA,VUELVE VUELVE
236,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,EN PELIGRO DE EXTINCIÓN
237,ALAN PINEDA,EN LA TUMBA PA QUE
238,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,LA PARRANDA
239,BRONCO,ALGUIEN MEJOR QUE YO
240,LOS DOS CARNALES,VIDA VENTAJOSA
241,IMPACTO SINALOENSE,SORRY
242,ALFREDO OLIVAS,LA MEJOR DE LAS HISTORIAS
243,BETO VEGA FT. LA SEPTIMA BANDA,LA NUMERO 20
244,LA DECISIVA BANDA LOS MONTOYA,EL COMPA ICE
245,LA IMPONENTE VIENTOS DE JALISCO,QUÍTAME ESTE MIEDO
246,CLAUDIO ALCARAZ,UN PASATIEMPO
247,BANDA LA MISMA TIERRA,ES MEJOR SOLO
248,SAUL EL JAGUAR,TU TU TU (TAN SÓLO TU)
249,LA SEPTIMA BANDA,NOS VOLVIMOS A BUSCAR
250,GERARDO DIAZ Y SU GERARQUIA,EL MEJOR LUGAR
251,BRONCO,QUIERO PERDERME
252,GRUPO FIRME FT EL YAKI,CADA VEZ TE EXTRAÑO MÁS
253,GERARDO DIAZ Y SU GERARQUIA,EL ALBAÑIL
254,LOS TUCANES DE TIJUANA,LA CHONA CHALLENGE
255,BANDA TODO TERRENO,DESDE QUE TE CONOCÍ
256,BANDA TODO TERRENO,POR QUE VOLVISTE
257,LA IMPONENTE VIENTOS DE JALISCO,DESVÉLATE
258,LOS 2 DE LA S,ADIVINA QUE
259,LIRICOS JR,BESOS CLANDESTINOS
260,"YURIDIA,RIO ROMA,LA ADICTIVA BANDA SAN JOSE DE MESILLAS",YO TE PREFIERO A TI
261,LOS INQUIETOS DEL NORTE,NACI PARA SER FELIZ
262,BXS,TAN LEJOS
263,PANCHO URESTI FT. BETO VEGA,EL RANGO MAS ALTO
264,RAYITO COLOMBIANO,INSOPORTABLEMENTE BELLA
265,JUAN SALAZAR,TANTAS MUJERES
266,PANCHO URESTI,LA DESCONOCIDA
267,LA IMPONENTE VIENTOS DE JALISCO,A MI ESTILO
268,LOS INQUIETOS DEL NORTE,UNA VEZ MAS
269,LOS HURACANES DEL NORTE,ROSA DE CASTILLA
270,EL YAKI,Y ME LA VUELVES HACER
271,"ADRIEL FAVELA,CODIGO FN",MIAMI VIBE
272,ELIDIAN,HAGAMOS COSAS MALAS
273,"LA VENTAJA,ALFREDO OLIVAS",LOS INADAPTADOS
274,KIKIN Y LOS ASTROS,RETOMAR LA BORRACHERA
275,CARIN LEON,TU
276,PEPE AGUILAR,POR EL RUIDO Y POR LA LATA
277,EL YAKI,NOMAS ESTE REY
278,DUELO,PARA CREAR UN SOÑADOR
279,NATTI NATASHA,PA MALA YO
280,PAOLA PRECIADO,AL MODO
281,"BANDA SELECTIVA DE ANGEL ROMERO,AHIJADOS DEL RANCHO Y ARTISTAS INVITADOS",NO PIERDAS LA FE
282,ADAL LORETO,ENTERATE
283,LA LEYENDA,DERECHOS RESERVADOS
284,BANDA LA EJECUTIVA,EL DIA QUE ME FUI
285,LA FIRMA,DEMASIADO AMOR
286,BANDA LA MISMA TIERRA,CONTIGO SIEMPRE ESTARÉ
287,CLAUDIO ALCARAZ,NADIE ME CREE
288,NETO BERNAL,SI QUIERES
289,"DANNA PAOLA,SEBASTIAN YATRA",NO BAILES SOLA
290,DADDY YANKEE,CON CALMA
291,LA BANDONONONA RANCHO VIEJO,A 140
292,TINY Y KHEA,ELLA DICE
293,RAYITO COLOMBIANO,INSACIABLES
294,LOS NUEVOS ILEGALES,DICEN DE MI
295,ULISES CHAIDEZ,DILE LUNA
296,GRUPO FIRME,PIDEME
297,LOS SOCIOS DEL RITMO FT. SAMO,EL AÑO VIEJO
298,BANDA MS,QUIEN PIERDE MAS
299,IMPERIO CALAVERA,TE PARECES TANTO
300,BANDA LA EJECUTIVA,POR SI ME EXTRAÑAS
301,BANDA CUISILLOS,ESTAS HACIENDO TODO BIEN
302,LOS TUCANES DE TIJUANA,RANCHERO Y MEDIO
303,CRECER GERMAN,NO SOY NADIE
304,LA ORIGINAL BANDA EL LIMON,LO TIENES QUE SABER
305,LUIS ANTONIO LOPEZ EL MIMOSO,COMO QUIERES QUE ESTE
306,MARCO ANTONIO SOLIS,YO TE NECESITO
307,JORGE MEDINA,PERSONA TOXICA
308,LOS HURACANES DEL NORTE,CON EL ALMA BOHEMIA
309,GERARDO ORTIZ,OTRA BORRACHERA
310,PANCHO URESTI,DOLORES EN EL BURRO
311,JENNI RIVERA,ENGAÑEMOSLO
312,LA PODEROSA BANDA SAN JUAN,MALABARES
313,FIDEL RUEDA,SE COTIZA BIEN
314,BRUNO DE JESUS,SOY YO
315,LUIS ANTONIO LOPEZ EL MIMOSO,EXPECTATIVA Y REALIDAD
316,"LA EXPLOSIVA BANDA DE MAZA,EL BEBETO",QUIERES SER MI MUJER
317,LOS KASSINO DE CHUCHO PINTO,ME VA A DOLER
318,LOS INQUIETOS DEL NORTE,QUE ROLEN LOS VERDES
319,JUNIOR KLAN,EL WIFI
320,BANDA RANCHO VIEJO,LA MEJOR OPCION
321,LA IMPONENTE VIENTOS DE JALISCO,LA HISTORIA DE SIEMPRE
322,LEONARDO AGUILAR,TU MENDIGO RECUERDO
323,ALEX FERNANDEZ,TE AMARE
324,KEVIN ORTIZ,POBRE DIABLO
325,MARILYN ODESSA,LO MAL QUE ME TRATASTE
326,"LA SEPTIMA BANDA,BANDA LOS SEBASTIANES",SALUD
327,VOZ DE MANDO,MIENTES MUY BONITO
328,MALUMA,HAWAI
329,LOS CARDENALES DE NUEVO LEON,LUNATICO
330,LOS SOCIOS DEL RITMO CON DANIEL GUTIERREZ,AMOR DE INTERNET
331,J BALVIN,MORADO
332,BANDA LA MISMA TIERRA,TU LO QUISISTE ASI
333,LA ORIGINAL BANDA EL LIMON,DILE QUE TE DIJE
334,PEPE AGUILAR,NO VALE LA PENA
335,ALFREDO OLIVAS,EL ZOOLOGICO
336,LOS TUCANES DE TIJUANA,LA BUENA VIDA
337,CARIN LEON,ME LA AVENTE
338,LOS HURACANES DEL NORTE,QUE QUEDE ENTRE NOS
339,PEQUEÑOS MUSICAL FT. LA ARROLLADORA BANDA EL LIMON,2020 ROMANTICO INCURABLE / UN LOCO SOLITARIO
340,LOS ALEGRES DE LA SIERRA,CUANDO ABRAS LOS OJOS
341,BANDA LA MISMA TIERRA,LLORARE POR TI
342,LA SEPTIMA BANDA,TE HICIERON PARA MI
343,J BALVIN,REGGAETON
344,LOS SOCIOS DEL RITMO FT. CHIQUIS RIVERA,"TE EXTRAÑO,TE OLVIDO,TE AMO"
345,BANDA RANCHO VIEJO,GENTE DE RANCHO
346,VIRLAN GARCIA,TE MERECES
347,"LOS ANGELES AZULES,NATALIA LAFOURCADE",NUNCA ES SUFICIENTE
348,LOS KASSINO DE CHUCHO PINTO,DILE LA VERDAD
349,EL BEBETO,POR QUE DEJASTE QUE TE AMARA
350,"LOS ANGELES AZULES,LOS CLAXONS",ANTES QUE AL MIO
351,LA ZENDA NORTEÑA FT EL BEBETO,QUE SE ENTERE LA GENTE
352,DADDY YANKEE,QUE TIRE PA LANTE
353,LOS ANGELES DE CHARLY,YA ME ENTERE
354,"LA BANDONA DEL RANCHO,LOS BUITRES",PEGANDO EN GRANDE
355,PEDRO FERNANDEZ,COMO TE EXTRAÑO MI AMOR
356,LOS CALIZ,QUIEN DE LOS DOS
357,GONZALO MARTINEZ,DE TI APRENDI
358,BANDA MS,ALTAMENTE PROBABLE
359,LA INOLVIDABLE FT. LA IMPONENTE,NUNCA OLVIDARÉ
360,FANO GAXIOLA,NO TE VAS ARREPENTIR
361,"PELU RAMPIN,LOS BYBYS",ABSURDA CONFIDENCIA
362,NATTI NATASHA,QUE MAL TE FUE
363,SUENATRON,CUMBIA CALI
364,INTOCABLE,ME DUELES
365,LA FIRMA,DESDE QUE ESTAS CONMIGO
366,LA VICTORIA DE MEXICO,AY LA DEJAMOS
367,PIPO RODRIGUEZ,LA REMPUJADERA
368,LA SUPER CORONA DE RAFA BECERRA,LA SUERTE DEL MALO
369,AARON Y SU GRUPO ILUSION,CORAZON DE PAPEL
370,LOS CAPIS DE SINALOA,EL DEL PUEBLITO
371,VIRLAN GARCIA,QUIERO REINTENTARLO
372,AARON Y SU GRUPO ILUSION,YO TE PIDO AMOR
373,RODRIGO AGUILAR EL PANTERA,SE VA HACER O NO
374,MARIANA SEOANE,YA NO CABES EN MI VIDA
375,BRIAN SANDOVAL,LA ULTIMA VEZ
376,LUCKY BOSSI,POMPEO
377,LOS TITANES DE DURANGO,ME VOLVI A ENAMORAR
378,CORNELIO VEGA Y SU DINASTIA,HAZ LO QUE QUIERAS
379,BANDA PEQUEÑOS MUSICAL,COGIENDO LA MANO
380,LUIS ANTONIO LOPEZ EL MIMOSO,ADMITELO ACEPTALO
381,LA PODEROSA BANDA SAN JUAN,MIENTRAS TU ME LO PERMITAS
382,EL PANTERA DE CULIACAN,TE SIGO AMANDO
383,ALAN PINEDA,INVENTAME
384,"GRUPO FIRME,BANDA COLOSO",EL AMOR NO FUE PA MI
385,BANDA PEQUEÑOS MUSICAL,TODOS TENEMOS UN AMOR
386,LOS SOCIOS DEL RITMO FT MATUTE,POPURRI DE LAS CARRETAS
387,EXTERMINADOR,EL BAILE DE SANTA CLAUS
388,LA EXPLOSIVA BANDA DE MAZA,LAMENTO DECIRLE
389,SANTIAGO ARROYO,NO PUEDO NO LLORARTE
