rank,artists,title
390,"JORGE DOMINGUEZ,RAYITO COLOMBIANO",ALINE
391,"LOS KASSINO DE CHUCHO PINTO,MISTER CHIVO",JUANA LA CUBANA
392,LA PODEROSA BANDA SAN JUAN,MIENTRAS NO ME BUSQUES
393,FANO GAXIOLA,LA MEJOR VERSION DE MI
394,CLAUDIO ALCARAZ,YO ME ACOPLO
395,LENIN RAMIREZ FT GRUPO FIRME,YO YA NO VUELVO CONTIGO
396,INTOCABLE,TU SOLEDAD Y LA MÍA
397,LOS CAPIS DE SINALOA,EL PERSEVERANTE
398,"GRUPO FIRME,BANDA LA SINALOENSE DE ALEX OJEDA",DECIDE TU
399,LUIS ANTONIO LOPEZ EL MIMOSO,EN ESTA VIDA NO SE PUDO
400,JUNIOR KLAN,A SANGRE FRIA
401,"JUANES,LALO EBRATT",LA PLATA
402,LA SUPER CORONA DE RAFA BECERRA,YA DECIDETE
403,LENIN RAMIREZ,CONTRA MIS PRINCIPIOS
404,GIOVANNI AYALA,A CUANTO ME QUEDE
405,"EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ARTURO JAIMES",CULPABLE O NO
406,GERARDO ORTIZ,EGOISTA
407,"BANDA SANTA Y SAGRADA,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY",LA REINA DE MI ALMA
408,LA BANDONONONA RANCHO VIEJO,LO QUE DAS RECIBIRÁS
409,LOS YAGUARU,YA NO LLUEVE EN MI
410,PESADO,LE DI
411,FANO GAXIOLA,LA COLORETEADA
412,REMMY VALENZUELA,TE INVITO
413,LOS BUITRES,DESPUÉS DE TI
414,LIBAN GARZA,DE LA MANO CONTIGO
415,"KAROL,NICKI MINAJ",TUSA
416,"ALEJANDRO FERNANDEZ,VICENTE FERNANDEZ",MENTI
417,SECH FEAT DARELL,OTRO TRAGO
418,RAMON RODRIGUEZ EL RR,INVERTIR LOS PAPELES
419,ANUEL AA. ENRIQUE IGLESIAS,FUTBOL Y RUMBA
420,"NICKY JAM,DADDY YANKEE",MUEVELO
421,FERNANDO GIL,COMO DICES TU
422,OZUNA,CARAMELO
423,LILA DOWNS,CARIÑITO
424,LUCIANO PEREYRA FT LUCERO,COMO TU
425,ELIDIAN,UNA NOCHE DE FIESTA
426,LOS LIRICOS JR. FT. IMPERIO CALAVERA,TU PERFUME
427,"LOS 2 DE LA S,BANDA MS",SOMOS LO QUE SOMOS
428,LOS CARDENALES DE NUEVO LEON,SORPRENDEME
429,MONTEZ DE DURANGO,SE TE OLVIDO
430,GRUPO ARRANKE,A TRAVES DEL VASO
431,KIKIN Y LOS ASTROS,HOY QUE TE PIERDO
432,"SHAKIRA,ANUEL AA",ME GUSTA
433,LOS CARDENALES DE NUEVO LEON,COMPRE UNA CANTINA
434,CHICO CHE CHICO,MACORINA
435,"LOS ANGELES AZULES,MIGUEL BOSE",MORIR DE AMOR
436,LOS VALEDORES DE LA SIERRA,PROMESAS
437,TAVO ESCALANTE,UN NUEVO AMOR
438,"RAYMIX,JUANES",OYE MUJER
439,"NATTI NATASHA,ROMEO SANTOS",LA MEJOR DE MI REMIX
440,PAOLO RUBBOLI,PASASTEUN RATITO
441,LOS SUPER CARACOLES,EL DE LA TANGUITA ROJA
442,ENIGMA NORTEÑO,LA GENTE DE AHORA
443,"WISIN Y YANDEL,ROMEO SANTOS",AULLANDO
444,ALEX RUIZ,YO NO ME ENAMORO
445,ALEX RUIZ,CACHETEA
446,JUNIOR KLAN,COLON ERA SOLTERON
447,AARON Y SU GRUPO ILUSION,RAZON
448,"BANDA TIERRA SAGRADA,PANCHO URESTI",DE CUALQUIER MODO
449,CHICO CHE CHICO FT. LOS SOCIOS DEL RITMO,NI TAN GORDA NI TAN FLACA
450,LOS SUPER CARACOLES,ME GUSTAS
451,FIEVRE LOOKA,POR CUANTO ME LO DAS
452,GERMAN MONTERO,A TRAVES DEL VASO
453,DIABLOS LOCOS FT. FERNANDO GIL,MEJOR QUE EL (QUEDATE CON EL)
454,BLANCO Y NEGRO,VIVA EL AMOR
455,LOS YAGUARU,MALDITA TRAICION
456,MARILYN ODESSA,Y NO ME EQUIVOQUE
457,LA ORIGINAL BANDA EL LIMON,AMANDOTE
458,"CARLO MORA,ALAN PINEDA",TRES BOTELLAS
459,LOS BUKIS,NAVIDAD SIN TI
460,SIGGNO,YO TE AMO
461,PURO REYES,AVENTURERO
462,LOS DE LA VAINILLA,TU CELULAR
463,GIOVANNI AYALA,PA QUE NO TE ANDEN CONTANDO
464,"LEANDRO RIOS,LOS CARNALES DE NUEVO LEON",SI EXTRAÑAS AL VIEJO
465,LOS ROJOS,ESO SERIAMOS NOSOTROS
466,BANDA PEQUEÑOS MUSICAL,DAMELO
467,MALUMA,AMOR DE MI VIDA
468,LOS VALEDORES DE LA SIERRA,DEJATE AMAR
469,BLANCO Y NEGRO,LA PROBADITA
470,NELSON KANZELA,CON UNA CERVEZA
471,NELSON KANZELA,BIEN QUE QUIERE
472,CORNELIO VEGA Y SU DINASTIA,FUE UN ERROR AMARTE
473,"JUANES,SEBASTIAN YATRA",BONITA
474,PAOLO RUBBOLI,La Loca Ramona
475,FERNANDO GIL,QUIERO DECIRTE
476,INTOCABLE,NO VAN A ENTENDER
477,LOS 2 DE LA S,DE FIESTA
478,FANO GAXIOLA,OJALA
479,GRUPO CORPORACIÓN,LARGATE Y NO VUELVAS
480,JUNIOR KLAN,CUMBIA CON ACORDEON
481,JORGE DOMINGUEZ Y SU GRUPO SUPER CLASS,INFIEL
482,DADDY YANKEE FT SECH,DEFINITIVAMENTE
483,LA ZENDA NORTEÑA,NO LO MERECES
484,LORENZO MENDEZ,IMPERFECTAMENTE PERFECTA
485,CESAR CERECERES,SE TE NOTA
486,LOS YAGUARU,ANTÍDOTO
487,GERARDO CORONEL,QUE QUIERES
488,MARCO ANTONIO SOLIS,NO ME ARREPIENTO
489,MARILYN ODESSA,TE VA A FALTAR
490,GUIDO G FT LEOSHIN,DÉJAME
491,GRUPO G,PERDÓN
492,LA ORIGINAL BANDA EL LIMON,ALGO OFICIAL
493,NELSON KANZELA,LA GUITARRA Y LA MUJER
494,MELISSA,A PUROS BESOS
495,DAVID AVILA,TU VENENO
496,BLANCO Y NEGRO,BOTA LA BATA
497,GRUPO DELTA,TE VA A DOLER
498,FIEVRE LOOKA,CUANDO TE PERDI PERDI
499,"CARLOS RIVERA,NATALIA JIMENEZ",EL DESTINO
500,ROSALIA,TKN
501,BLANCO Y NEGRO,EL SABOR DE TU TRAICION
502,LOS TIGRES DEL NORTE,UN CONSENTIDO DE DIOS
503,LOS SUPER CARACOLES,HOY ES VIERNES Y EL CUERPO LO SABE
504,LOS DE LA VAINILLA,LA FAMILIA
505,BANDA EL RECODO,LA MEJOR DE TODAS
506,"SUPER LAMAS,ALEKS SYNTEK",CORAZONES INVENCIBLES
507,OZUNA,FANTASIA
508,MELISSA,"QUE TAL SI,SI"
509,SANGRE FELINA,SIN FORTUNA
510,MANUEL TURIZO,QUIEREME MIENTRAS SE PUEDA
511,BANDA MS,EL COLOR DE TUS OJOS
512,LOS CHICOS AVENTURA,LA CHICA PICOSITA
513,LOS HEREDEROS DE NUEVO LEON,TE VOY A DAR LA REVANCHA
514,SUPER LAMAS FT RAYMIX,TODO LO ENCUENTRO EN TI
515,HERMANOS VEGA JR,Y COMO QUIERES QUE TE QUIERA
516,TERCERO A FT RAYITO COLOMBIANO,DEJAME VIVIR
517,BANDA ARRIBA MI SINALOA,EL ALBOROTAO
518,BANDA LOS RECODITOS,DI
519,"PISO 21,CHRISTIAN NODAL",PA OLVIDARME DE ELLA
520,GERARDO DIAZ Y SU GERARQUIA,PA LOS MAL AGRADECIDOS
521,JUNIOR KLAN,NIÑA
522,MI BANDA EL MEXICANO GERMAN ROMAN FT VOZ DE MANDO,MAMBO LUPITA
523,"SUENATRON,JONAZ",COMPAS
524,"LOS SOCIOS DEL RITMO,ALEXANDER ACHA",LLORAR
525,BETO PEÑA,EL QUEMADO
526,EXTERMINADOR,LA LLAMADA
527,BLANCO Y NEGRO,Y ME VOLVI A ENAMORAR
528,LOS SUPER CARACOLES,BAILE CALLEJERO
529,FERNANDO CORONA,PROVOCAME
530,SIMON LEON,SOLO TU
531,ALEX FERNANDEZ,ESTA VIDA (QUE BONITA ES ESTA VIDA)
532,GIOVANNI AYALA,DESCONOCIDOS
533,LA SEPTIMA BANDA,SALUD
534,JORGE DOMINGUEZ Y SU GRUPO SUPER CLASS,DÓNDE ESTÁS CARIÑO MÍO
535,PEDRO FERNANDEZ,ME ENAMORE DE UNA MUJER CASADA
536,BANDA TIERRA MOJADA,Y ME PREGUNTO POR QUE
537,DENISSE DE KALAFE,SEÑORA SEÑORA
538,EL PODER DEL NORTE,FRENTE A FRENTE
539,EL SUPER SHOW DE LOS VASKEZ,JUGUITO DE PIÑA VERSIÓN CUMBIA URBANA DE CRUZ MARTÍNEZ
540,LOS HURACANES DEL NORTE,ES PARTE DEL SHOW
541,EMIR PABON,SWING
542,"ANA BARBARA,PAQUITA LA DEL BARRIO",EL CONSEJO
543,CHUY LIZARRAGA,ME HACIAN FALTA HUEVOS
544,"LEANDRO RIOS,LOS NUEVOS FEDERALES",EL MAL PORTADO
545,LOS ROJOS,VIUDA NEGRA
546,ELIDIAN,SINCERO AMOR
547,BANDA PEQUEÑOS MUSICAL,TENEMOS HISTORIA
548,LOS KASSINO DE CHUCHO PINTO,EL AÑO VIEJO
549,FIEVRE LOOKA,LA RAJITA DE CANELA
550,FIEVRE LOOKA,UN BESITO
551,NELSON KANZELA,"AH PERO ANOCHE ""LA CHABELA"""
552,LOS TIGRILLOS,VEN VEN VEN
553,BANDA LA TREVIÑOSA,DON DIABLO
554,BANDA CARNAVAL,SEGUNDA OPCION
555,BANDA BG,HABLALE DE MI
556,ELIDIAN,POR SIEMPRE EN MI CORAZON
557,"LIBAN GARZA,BANDA LA EJECUTIVA",LOS PAPIS
558,LA ARROLLADORA BANDA EL LIMÓN,CALIDAD Y CANTIDAD
559,SIGGNO,QUE DIABLOS PENSABAS
560,RUBY ESCOBAR,NI POR COSTUMBRE NI POR AMOR
561,DON CHAYO,ESO DOLIO
562,LOS YAGUARU,UN AMOR BONITO
563,PESADO,MI PRIMER AMOR
564,LA EXPLOSIVA BANDA DE MAZA,EL TRAIDOR
565,"CHRISTIAN NODAL,SEBASTIAN YATRA",ESTA NOCHE
566,GLORIA TREVI,HIJOEPU
567,"LOS ANGELES AZULES,GLORIA TREVI",DR. PSIQUIATRA
568,BANDA ESTRELLAS DE SINALOA DE GERMAN LIZARRAGA,QUE NO PARE LA FIESTA
569,CELSO PIÑA,CUMBIA SOBRE EL RIO
570,EL TIGRILLO PALMA,TE VAS
571,LA BANDA ALTA POTENCIA DE ZACATECAS FT. CESAR CERECERES,SOLTERO Y SIN COMPROMISO
572,BANDA BG,QUE BUENA SUERTE
573,LEANDRO RIOS,MISMO DESEO
574,BANDA MS,TU POSTURA
575,HUGO FERNANDEZY PURO REYES FEAT. JUAN SOLO,EXTRAÑO TUS MENTIRAS
576,EL PODER DEL NORTE,YO QUE NO VIVO SIN TI
577,BANDA MS,ALREDEDOR DEL ARBOL DE NAVIDAD
578,HUGO FERNANDEZ Y PURO REYES,ESE NO ES MEJOR QUE YO
579,PESADO,HABLA EL PASADO
580,"CARIN LEON,CONJUNTO PRIMAVERA",EL AMOR DE TU VIDA
581,"DALEX,SECH",MEJOR
582,RUBEN VEGA,LERO LERO
583,CHRISTIAN NODAL,ADIOS AMOR
584,LOS TITANES DE DURANGO,YO QUIERO UN SHOT
585,EL BEBETO,SEREMOS
586,BANDA PEQUEÑOS MUSICAL,EL AMOR NO FUE PA' MI
587,VIRLAN GARCIA,EN DONDE ESTA TU AMOR
588,LA BANDONONONA BANDA RANCHO VIEJO FT. CARLOS SARABIA,A CUANTO ME QUEDE
589,COQUILLO RIVERA,COMO TE DESEO
590,LA SUPER CORONA DE RAFA BECERRA,ME ENCANTAS
591,"LITZY COVARRUBIAS,SANGRE FELINA","SI PIENSAS,SI QUIERES"
592,CESAR CERECERES,RECUERDOS DEL RANCHO
593,FERNANDO GIL FT ALEX MANGA,ME VAS A MATAR
594,ULICES CHAIDEZ Y SUS PLEBES,QUE BONITO ES QUERER
595,"NICKY JAM,OZUNA",TE ROBARE
596,JUNIOR KLAN,TODO EL MUNDO PA´CA
597,"BANDA EL RECODO,GERARDO ORTIZ",MI VICIO MAS GRANDE
598,BANDA PELILLOS,DECÍDETE
599,"SECH,OZUNA",SI TE VAS
600,FIEVRE LOOKA,"LA ESTRELLA,LA UNICA ESTRELLA"
601,LOS BUKIS,TE AMO MAMA
602,"GRUPO VERSAX,BERENI-C",YA NO VIVES EN MI
603,MI BANDA EL MEXICANO GERMÁN ROMAN FT LOS TITANES DE DURANGO,"Feliz,Feliz"
604,LOS FUMANCHEROS,CIELO
605,DIEGO VERDAGUER,DESVELADO
606,HOMENAJE NORTEÑO,ESE TIPO SOY YO
607,LA SONORA DINAMITA FT. MON LAFERTE,QUE NADIE SEPA MI SUFRIR
608,MALUMA,HP
609,RUBY ESCOBAR,DUELE AMAR
610,NELSON KANZELA,VENGO BIEN CONTENTO
611,LA SEPTIMA BANDA,POR QUE ME CELAS
612,CUARTO DE MILLA,PENSANDO EN TI
613,BANDA LA TREVIÑOSA,SE CAMBIARON LOS PAPELES
614,BANDA TERRONES,SE ME HIZO VICIO
615,LOS 2 DE LA S,PERDON PERDON
616,LA INOLVIDABLE BANDA AGUA DE LA LLAVE,NO VA SER FACIL
617,EL PEGA PEGA DE EMILIO REYNA,PERO AUN TE AMO
618,LOS TIGRILLOS FT. ANAIDITA,ME ENAMORO DE TI
619,"NATANAEL CANO,BAD BUNNY",SOY EL DIABLO
620,DIABLOS LOCOS,ESTADO CIVIL
621,CHUY LIZARRAGA,EL PISTO ES PRIMERO
622,SAUL EL JAGUAR,ESCLAVO Y AMO
623,"MAXIMO GRADO,JESUS OJEDA",DESDE ABAJO
624,J BALVIN,LA CANCION
625,BANDA FORTUNA,SOLO PARA RECORDARTE
626,LOS RELAMPAGUITOS,AYER LA VI POR LA CALLE
627,GRUPO DELTA,ME VOY
628,"MANUEL ROMERO,HORACIO PALENCIA",MI PREMIO O MI CASTIGO
629,BLANCO Y NEGRO,NO SALGAS DE CASA POR EL CORONAVIRUS
630,GRUPO FIRME,TUSA EN VIVO
631,ANUEL AA,KEII
632,LOS CHERREÑOS DE SINALOA,NO QUERIAS LASTIMARME
633,LIBAN GARZA,AHÍ TE VES
634,LOS CHICOS AVENTURA,AHORA QUE TE VAS
635,LOS TIGRILLOS,EL ENFERMITO
636,BANDA MS,MI RAZON DE SER
637,PABLO MONTERO,SI VAS A AMARME
638,SAN LUISITO NORTE,EL SECRETO
639,LOS GFEZ,NI FU NI FA
640,ALFREDO OLIVAS,ANTECEDENTES DE CULPA
641,PURO REYES,AMIGOS CON DERECHO
642,LOS HURACANES DEL NORTE,NAVIDAD EN MI RANCHO
643,TAPY QUINTERO,NO VUELVE A SUCEDER
644,BANDA ESTRELLAS DE SINALOA DE GERMAN LIZARRAGA,MUCHAS GRACIAS
645,LOS GFEZ,ALGO BIEN
646,VICENTE FERNANDEZ,VIEJO MI QUERIDO VIEJO
647,"ADELA FERNÁNDEZ ""LA GALLERA""",CÓMO TE ATREVES
648,EL PODER DEL NORTE,ME ENAMORE DE USTED
649,GABRIEL VIVAL,CUENTALE
650,BANDA RANCHO VIEJO,ME VALE PERDERTE
651,LEX,EL MALA COPA
652,"KIKIN Y LOS ASTROS,LA H NORTEÑA",NO SABIA
653,"EL FANTASMA,LOS DOS CARNALES",CABRON Y VAGO
654,FABIAN MURILLO,SI EL DESTINO
655,EXTERMINADOR,EL REGRESO DE LAS MONJITAS
656,DANIYYEL VALENZUELA,REGRESA MI AMOR
657,SUPER LAMAS,YO QUIERO CHUPAR
658,CHRISTIAN NODAL,AMOR TOXICO
659,LOS RELAMPAGUITOS,YO COMENCE LA BROMA
660,SAN LUISITO NORTE,TU SIN MI
661,LOS GILES,CUMBIA DEL SOL
662,LOS RELAMPAGUITOS,NO TENGO DINERO
663,BANDA PEQUEÑOS MUSICAL,TENEMOS HISTORIA (ACUSTICO)
664,LOS TIGRES DEL NORTE,NAVIDAD DE LOS POBRES
665,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,TE DIRAN
666,LOS ELEMENTOS DE CULIACAN,VALE LA PENA
667,PEDRO CAPO,CALMA
668,TOÑO LIZARRAGA,LA TONTA ALEGRE
669,LAS FENIX,TU REFLEJO
670,PEDRO FERNANDEZ,NO SIENTO MAS DOLOR
671,"J BALVIN,MALUMA",QUE PENA
672,VALENTIN ELIZALDE,VETE YA
673,ELIDIAN,ERES MI RESPIRO
674,ULISES QUINTERO,EL ATRABANCADO
675,BANDA PLAYA GRANDE,LO DEJAMOS PARA NUNCA
676,EL BEBETO,HICIMOS CLICK
677,MI BANDA EL MEXICANO,RAMITO DE VIOLETAS
678,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,DESPUES DE TI QUIEN
679,JORGE ALMIR,EL CIGARRITO
680,"EDEN MUÑOZ,ALFREDO OLIVAS,C KAN,PANCHO BARRAZA,LA ARROLLADORA,BANDA EL LIMON",CORAZON VERDE
681,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,EL CORONAVIRUS
682,JULION ALVAREZ,LA SONRISA OBLIGATORIA
683,ALEJANDRO FERNANDEZ,EL TIEMPO NO PERDONA
684,LOS MIER,HOY VI A SANTA CLAUS BESAR A MAMA
685,CHRISTIAN NODAL,TE FALLE
686,EL PODER DEL NORTE,ROSA Y ESPINA
687,LOS CARDENALES DE NUEVO LEON,QUE NADIE SEPA
688,LA ARROLLADORA BANDA EL LIMÓN,ENTRE BESO Y BESO
689,FRANCISCO ELIZALDE,NO QUERIA ENGAÑARTE
690,ALISON SOLIS,EXTRAÑANDOTE
691,JOVANNY CADENA Y SU ESTILO PRI,ASI QUERIA MIRARTE
692,"CARLOS RIVERA,BECKY G,PEDRO CAPO",PERDIENDO LA CABEZA
693,PEDRO FERNANDEZ,COMO ELLA
694,ALEJANDRO FERNANDEZ,CUANDO YO QUERIA SER GRANDE
695,PANCHO BARRAZA,MI ENEMIGO EL AMOR
696,CHRISTIAN NODAL,AYAYAY
697,BANDA LA DELICTIVA,ALGUIEN COMO TU
698,ROBERTO JR Y SU BANDEÑO,FABULOSO
699,KUMBIAMBEROS RS,AGACHADITA
700,CRECER GERMAN,QUIEN TE ENTIENDE
701,MONTEZ DE DURANGO,EL HIJO AUSENTE
702,BANDA LOS SEBASTIANES,INDELEBLE
703,EL FANTASMA,EL CORRIDO DEL NANO
704,VICENTE FERNANDEZ,EN LA CARCEL DE TU ADIOS
705,LAS FENIX,UN TRAGUITO DE TEQUILA
706,"JUNIOR KLAN,SUPER LAMAS",LA CUMBIA DE LA PAZ
707,LA ORIGINAL BANDA EL LIMON,EL PRESENTE ES LO QUE CUENTA
708,PANCHO BARRAZA,Y LAS MARIPOSAS
709,ARIEL CAMACHO Y LOS PLEBES DEL RANCHO,TE METISTE
710,BLANCO Y NEGRO,LA DE 40
711,LA BANDONONONA CLAVE NUEVA,CUAL ADIOS
712,FABIAN MURILLO,SI ME DEJAS POR ELLA
713,JOVANNY CADENA Y SU ESTILO PRIVADO,QUIERO LLORAR Y NO PUEDO
714,LOS ANGELES AZULES,17 AÑOS
715,ALFREDO OLIVAS,EL PACIENTE
716,LOS TIGRILLOS,LA TURBULENCIA
717,GRUPO JALADO,TONTO CORAZON
718,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,DIME QUE SI
719,TAVO ESCALANTE,PERFECTA Y VACIA
720,JOAN SEBASTIAN,SE VA A ARREPENTIR
721,CRISTIAN JACOBO,YA TIENE NOVIO MI EX
722,BANDA SAUCITOS,SOY LO QUE QUIERO
723,LOS HEREDEROS DE NUEVO LEON,QUE BONITA CHAPARRITA
724,CALIBRE 50,SIEMPRE TE VOY A QUERER
725,LOS DE LA S,EL VERBON
726,GRUPO VARONIL,YA PEGO EL MUDO
727,MALUMA,MALA MIA
728,BANDA CUISILLOS,ELLA BAILA SOLA
729,REMMY VALENZUELA,MI PRINCESA
730,BANDA MS,NOCHE DE PAZ
731,GENTE DE MAZA,SOBRE LA MESA
732,DALIA HARO,DIAS DE AYER
733,COLMILLO NORTEÑO,EL ESTRES
734,PRESSIADO,LA REYNALDA
735,BANDA LOS RECODITOS,TRES RECUERDOS
736,MARIANA SEOANE,LA CHISMEADERA
737,BANDA LA TRAKALOSA,BORRACHO DE AMOR
738,LA IMPONENTE VIENTOS DE JALISCO,HOY ME VOY A RELAJAR
739,"AREA 669,EL CHAPO DE SINALOA",POR QUE NO ME DEJAS IR COMPLETO
740,BANDA PUNTO MEDIO,Y SI ME REGALAS
741,SONORA DE ANAIDITA,LIBRE Y SOLTERITA
742,JOSE JOSE,EL TRISTE
743,GRUPO AROMA,ME EMBORRACHARE
744,EL PLAN,TU AMOR ES UNICO
745,VIRLAN GARCIA,POR TU FELICIDAD
746,BANDA PEQUEÑOS MUSICAL,DAME EL CELULAR
747,"SUPER LAMAS,PEDRO FERNANDEZ",LA PELUSA
748,JULION ALVAREZ,AFUERA ESTA LLOVIENDO
749,TOÑO LIZARRAGA,UNA MORRA FORMAL
750,VICTOR JIMENEZ,TENGO GANAS
751,BANDA ESTRELLAS DE SINALOA DE GERMAN LIZARRAGA,EL HEREDERO
752,RAYMIX,TE FUISTE
753,BANDA LA EJECUTIVA,CON AMOR O CORAJE
754,GERARDO ORTIZ,PARA QUE LASTIMARME
755,LUIS ANTONIO LOPEZ EL MIMOSO,TIPICO CLASICO
756,LOS HERMANOS VEGA,LA ESPINITA
757,LOS DE LA VAINILLA,NO ME DEJES SIN TI
758,LOS TUCANES DE TIJUANA,LA CHONA
759,"CHICO CHE CHICO,HUGO FERNANDEZ",EL RESTAURANTITO
760,LOS ROJOS,AQUÍ SE VINO A PISTEAR
761,LOS RELAMPAGUITOS,DAME UNA RAZON
762,"REIK,WISIN Y YANDEL",DUELE
763,BANDA LOS SEBASTIANES,EN ESO NO QUEDAMOS
764,ESLABON ARMADO,CON TUS BESOS
765,BANDA LA TRAKALOSA,BROCHE DE ORO
766,INTOCABLE,QUEDATE CONMIGO
767,BANDA MS,NO ME PIDAS PERDON
768,JULION ALVAREZ,OJOS VERDES
769,"ALFREDO OLIVAS,EL FANTASMA",EL ZOOLOGICO
770,OSCAR BAKANO Y SU GRUPO JALADO,LA VENTANA (AMANECIÓ LLOVIENDO)
771,FIDEL RUEDA,NO SE COMO PAGARTE
772,BANDA LOS RECODITOS,MI ULTIMO DESEO
773,"HORACIO PALENCIA,ABBEL",RECHULA
774,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,FIJATE QUE SI
775,PANCHO BARRAZA,QUE TE PASO
776,PEPE AGUILAR,PORQUE YO TE AMO
777,"GENTE DE MAZA,BANDA LEGAL",LA MAS BONITA DEL RANCHO
778,BANDA MS,MI MAYOR ANHELO
779,CALIBRE 50,MITAD Y MITAD
780,BANDA PLAYA GRANDE,LUNA LLENA
781,"HUGO FERNANDEZ,PURO REYES",MAMBO PUÑALON
782,MI BANDA EL MEXICANO GERMÁN ROMAN FT FRANCISCO EL GALLO ELIZALDE,ADIÓS Y BUENA SUERTE
783,"GRUPO G,LOS KASSINO DE CHUCHO PINTO",PARA TI CON AMOR (BRINDAME UNA COPA)
784,CRECER GERMAN,AMOR SINCERO
785,CHRISTIAN NODAL,NACE UN BORRACHO
786,LARRY HERNANDEZ,LLORAR
787,KUMBIAMBEROS RS,ERAS
788,BANDA MS,HERMOSA EXPERIENCIA
