;Texto_tweet;valoracion_corpus;valoracion_calculada;Palabras_encontradas
175;Estos ojitos  iluminados con la luz del sol  quieren ver a Maduro de una vez por todas fuera de ;1.0;0.0;
176;El Bravo pueblo de en las calles este;1.0;0.0; brav(1.0) call(-1.0)
177;Esta es la España de la que estoy orgullosa  la que frena el fascismo y sale a votar en masa  No pasarán ;1.0;0.0; no(0.0)
178;Si en la vas perdonando al final acabas palmando  pero bien por mucho que haya momentos que seas mejor  Tristemente se viene otro triplete;-1.0;1.0; palm(-1.0) bien(1.0) mejor(1.0)
179;Que bonito el mapa tooo rojo;1.0;0.0;
180;En ningún sitio aprendí tanto de mí y de los demás como en una cancha      ;1.0;-1.0; siti(-1.0)
181;Muy orgullosa de la gente joven de este país y de la de todo el mundo;1.0;0.0;
182;La literatura es una defensa contra las ofensas de la vida  Cesare Pavese;1.0;0.0;
183;Tío mi lectura para los viajes es Un veterano de tres guerras de Guillermo Parvex  mire justo ahora me voy leyendo;1.0;-1.0; guerr(-1.0)
184;Cuáles son los mejores arranques de libros  Para mí   Muchos años después  frente al pelotón de fusilamiento  el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo  ;1.0;-1.0; mejor(1.0) fusil(-1.0) record(-1.0) remot(-1.0)
185;Gracias al VAR esto ya no es fútbol  Es Handball cualquiera puede poner la mano y no lo pitan;-1.0;0.0; no(0.0) no(0.0)
186;La he podido ver y disfrutar en una de las sagas de videojuegos que más me gusta  Una lástima no haberla visto en persona;-1.0;1.0; disfrut(1.0) gust(1.0) lastim(-1.0) no(0.0)
187;Gracias feriado x caer en día de;1.0;-1.0; caer(-1.0)
188;SATISFACCIÓN  esa é a palabra ElecccionesGenerales28A;1.0;0.0;
189;de Dios  Impresionante su nivel mostrado  Hegemónico;1.0;-1.0; impresion(-1.0)
190;Este país cuando sale a la calle y ejerce la democracia es la hostia y no necesita milagros  Estoy tremendamente orgulloso de vivir en España y de mis compatriotas  Hoy sí que me dan ganas de pasear mi bandera ;1.0;-1.0; call(-1.0) no(0.0) necesit(-1.0) tremend(-1.0) viv(1.0) gan(1.0)
191;Enhorabuena al PSOE por este fantástico resultado ;1.0;0.0;
192;Orgullosa del día de hoy;1.0;0.0;
193;Pues el gran perdedor de la noche ha sido Pablo FraCASADO;1.0;-1.0; fracas(-1.0)
194;Hoy he votado por primera vez en mi vida  Hoy he votado gracias a ellas;1.0;0.0;
195;Servicio público y literario En la 45 Feria Internacional del Libro en Buenos Aires se puede encontrar esta joya a sólo 150 pesos argentinos  3  5 usd aprox  ;1.0;-1.0; buen(1.0) air(-1.0) pes(-1.0)
196;No lo puedo creer MESSI ES EL DIOS DEL FÚTBOL  El alfa y el omega  cronos  todo;1.0;0.0; no(0.0)
197;El Barcelona se proclama campeón de Los culés están a tan sólo SIETE ligas de empatar al Real Madrid ;1.0;0.0;
198;Gol de FIFA JAJAJA 20 Venga un 30 ;1.0;0.0;
199;  porque en lo más profundo de la posesión no estás en mí  no te alcanzo  no paso de tu cuerpo  de tu risa  hay horas en que me atormenta que me ames  ;-1.0;0.0; no(0.0) no(0.0) no(0.0) ris(1.0) atorment(-1.0)
200;Necesito un meme que defina mi felicidad por el fracaso de la derecha  sobre todo de vox  y la izquierda como ganadora  Aún hay esperanza en este país;1.0;-1.0; necesit(-1.0) felic(1.0) fracas(-1.0)
201;Bien Suárez Vaya instancia para romper el maleficiooo  ;1.0;0.0; bien(1.0) romp(-1.0)
202;INCREÍBLE  ESPECTACULAR  ÉPICO  el capítulo de hoy  En tensión hasta el final ;1.0;0.0;
203;Con ellos la vida se disfruta más  sin ellos  bueno  soy incapaz de concebir la sola idea ;-1.0;1.0; disfrut(1.0) buen(1.0)
204;ha agotado todos los calificativos posibles  Ha dejado tantos momentos para la historia que no hay manera de medirla  Rotunda e irrepetible obra maestra ;1.0;-1.0; agot(-1.0) no(0.0)
205;Hace ocho meses se veía hermosa ;-1.0;1.0; hermos(1.0)
206;Muchos son los recuerdos y fotografías que tiene la gente de la catedral de   Se reconstruirá y volveremos  Claro que la volveremos a ver ;1.0;-1.0; reconstru(-1.0)
207;Que bien he dormido sabiendo que España es progresista  feminista y tolerante  Adiós al discurso del odio y el enfrentamiento  Orgullosa de este país ;1.0;0.0; bien(1.0) progres(1.0) odi(-1.0) enfrent(-1.0)
208;Otra liga más del Messi Fútbol Club;1.0;0.0;
209;Mañana es la manifestación PorElClima y hoy han nominado a al Nobel de la Paz por su lucha lucha contra el Enhorabuena Para celebrarlo Inundemos las calles mañana;1.0;-1.0; celebr(1.0) inund(-1.0) call(-1.0)
210;No necesitas recorrer grandes distancias para viajar  solo un buen libro;1.0;0.0; no(0.0) necesit(-1.0) grand(1.0) distanci(-1.0) buen(1.0)
211;Esta es de la España que hay que estar orgulloso  la que se levanta a votar para parar a la ultraderecha  no la que saca la bandera para hacer daño;1.0;0.0; no(0.0)
212;Aún así hay 2 millones de personas que han votado a la extrema derecha  Eso me da miedo  Pero no va a quitarme la felicidad que tengo ahora mismo  Hemos salido a luchar y lo hemos conseguido ;1.0;-1.0; mied(-1.0) no(0.0) quit(-1.0) felic(1.0)
213;De mezclar y solo podía salir una genialidad ;1.0;0.0;
214;Vaaaamos Campeones de la Liga;1.0;0.0;
215;Hoy sí me siento muy orgullosa de ser española  La gente ha hablado  y quiere seguir construyendo no destruyendo ;1.0;-1.0; no(0.0) destru(-1.0)
216;Si se puede España ha hablado en las urnas y mañana seguiremos estando en 2019 y no retrocediendo a 1939 ;1.0;0.0; no(0.0)
217;Los que han votado por el voto útil para evitar que ganase van a estar la mar de contentos ElecccionesGenerales28A;-1.0;1.0; util(1.0) evit(-1.0) gan(1.0) content(1.0)
218;EL REY DE 10 títulos para Leo Messi en 15 campeonatos españoles disputados defendiendo la camiseta del Barcelona;1.0;-1.0; disput(-1.0)
219;Te extraño y no quiero vivir esto  Te necesito como eras antes o mejor;-1.0;1.0; no(0.0) viv(1.0) necesit(-1.0) mejor(1.0)
220;Deja de llenar la timeline de con tus comentarios insinuando spoilers Por favor;-1.0;1.0; llen(1.0)
221;Barça grita campeón Tras superar 10 a con gol de Messi  consigue su título número 8 en las últimas 11 ligas ;1.0;0.0; grit(-1.0) super(1.0)
222;Confirmamos que GOT es la mejor serie de este jodido planeta ;1.0;-1.0; got(-1.0) mejor(1.0) seri(-1.0)
223;Menuda pasada el mejor capitulo de la historia un capítulo que lleva siendo todas las temporadas que pasada a tomar por culo el rey de la noche;1.0;0.0; mejor(1.0) tom(-1.0)
224;calentando motores pa lo q viene  ;1.0;0.0;
225;Ya esta aquí el tráiler del próximo episodio;1.0;0.0;
226;No puedo creer que haya gente contenta por lo de sinceramente me dan pena  No es una cuestión religiosa  es cultural ;-1.0;1.0; no(0.0) content(1.0) sincer(1.0) pen(-1.0) no(0.0)
227;Que maravilla de capitulo ha merecido la pena esperar una semana;1.0;0.0; maravill(1.0) pen(-1.0)
228;Preparada para una noche que vamos a recordar toda la vida ;1.0;-1.0; record(-1.0)
229;Madre mía el tercer capítulo;1.0;0.0;
230;Qué golazo Otra más de Messi;1.0;0.0;
231;La catedral de notre dame se ha salvado pero POR MUY POCO  ;-1.0;0.0;
232;Miercoles de no trabajo tarde de  Imperdible;1.0;0.0; no(0.0)
233;Brutal el episodio 3 de;1.0;-1.0; brutal(-1.0)
234;y son dos pueblos hermanos que nadie hará romper su amistad y el que piense hacerlo está muy equivocado;1.0;-1.0; romp(-1.0)
235;Crear conciencia y tomar acción Gracias por la enseñanza para hacer la diferencia  Nos vemos pronto;1.0;-1.0; tom(-1.0)
236;Que extraordinario que es el fútbol;1.0;0.0;
237;Unos de fiesta y otros de funeral;-1.0;1.0; fiest(1.0)
238;Golazooo de demostrando porque es el mejor Apague y vamonos ;1.0;0.0; mejor(1.0) apag(-1.0)
239;Muchas gracias señor Dios  Muchas gracias señor Diez ;1.0;0.0;
240;Tengo un alma profundamente naturista y adoro con ella la verdad sencilla de las cosas Teresa de la Parra;1.0;0.0;
241;Messsi Es el Barcelona Juegan los otros  pero el resuelve ;1.0;0.0;
242;Enorme  la niña que quiere salvar el clima;1.0;0.0;
243;En la ha creado sus pancartas con las reivindicaciones  Un gran trabajo FridaysForFurture;1.0;0.0;
244;Tod los que vayáis al estadio hoy tenéis que ser nuestros ojos  nuestros oídos  nuestra garganta  nuestra fuerza  nuestras palmas  nuestros gritos  nuestra alma   hacedlo por nosotros q apoyaremos desde casa;1.0;-1.0; fuerz(1.0) palm(-1.0) grit(-1.0)
245;Muy chevere y todo pero ese no debía ser el final para el rey de la noche  merecía más  muchísimo más;-1.0;0.0; no(0.0)
246;Muchas gracias por defender nuestro hogar e inspirarnos a todos a trabajar por el futuro y la Humanidad  Muchas gracias ;1.0;0.0;
247;Gracias a todos los que habéis votado izquierda  Esos cabrones No Pasarán Mañana habrá que romperse la cabeza con los pactos  Hoy pienso disfrutar;1.0;0.0; no(0.0) romp(-1.0) disfrut(1.0)
248;Gracias a los bomberos de París y a los trabajadores de los que lucharon por salvar a  a tous  Sin duda el pueblo francés la reconstruirá ;1.0;-1.0; reconstru(-1.0)
249;Vamos Dios está con ustedes  Tienen todo nuestro apoyo hermanos;1.0;0.0;
250;Así nos movilizamos en en nuestro compromiso desde la  Gracias desde infantil  primaria y secundaria  fridaysforfuture;1.0;0.0;
251;Goooooolazo De Tiro libre Meeeessiiiii 30 ;1.0;0.0;
252;Sí  sí  sí  esta noche hay capítulo de  impaciencia absoluta  Celébralo con las camisetas de  muchos modelos a elegir y a precios alucinantes  link en la;1.0;0.0; impacient(-1.0) alucin(1.0)
253;Gracias  Gracias  Solo puedo decir eso ;1.0;0.0;
254;Primera vez en la historia que el trofeo de es entregado directamente a Messi como capitán del Barça;1.0;0.0;
255;Donará 100 millones de para la reconstrucción de  Haber si toma nota el y ayuda  tienen mucho dinero y oro ;1.0;-1.0; don(-1.0) tom(-1.0) diner(1.0)
256;BRUTAL preparaos para el tercer capítulo;1.0;-1.0; brutal(-1.0)
257;Qué gran iniciativa en el Gracias a la y al  Machado no quita la pena  la angustia o el dolor clavado en el alma pero hace todo más liviano ;1.0;-1.0; no(0.0) quit(-1.0) pen(-1.0) angusti(-1.0) dolor(-1.0)
258;Para qué ir a la escuela si en los próximos diez años no habrá un planeta habitable  Para qué aprender un montón de datos  si los datos que importan a nadie le importa ;-1.0;1.0; no(0.0) import(1.0) import(1.0)
259;Vale la pena esperar 10 años para ver este pedazo de capítulo de  Impresionante  una maravilla ;1.0;0.0; val(1.0) pen(-1.0) impresion(-1.0) maravill(1.0)
260;es el puto amo del;1.0;0.0;
261;Una magnífica estructura arquitectónica con más de 800 años de historia y uno de mis edificios preferidos del mundo ;-1.0;1.0; prefer(1.0)
262;GRACIAS A TOD Hemos conseguido frenar al trifachito  Orgullo enorme;1.0;0.0;
263;Muy pero que muy difícil se lo tendrán que poner los al en la vuelta de las semifinales  El trabajo de los holandeses esta campaña es impresionante ;1.0;-1.0; impresion(-1.0)
264;Me fascina el plató  grafismo  conductores y colaboradores  Ansioso por los resultados;1.0;-1.0; ansios(-1.0)
265;Es tan triste ver esto Me hubiera encantado poder conocer;-1.0;0.0; trist(-1.0) encant(1.0)
266;El único Rey Orgullo Argentino  Felicitaciones por el título de;1.0;0.0;
267;un billonario donará 100 millones de para restaurar  Qué maravilla que existan seres de luz entre tanta oscuridad;1.0;-1.0; don(-1.0) maravill(1.0) oscur(-1.0)
268;Gracias Aznar  contigo empezó todo;1.0;0.0;
269;Feliz Día del Libro Por qué si nos llaman gordos nos ponemos a adelgazar pero si nos llaman idiotas no nos ponemos a leer  A ponerse guapos y guapas todos;1.0;0.0; feliz(1.0) gord(-1.0) no(0.0)
270;Abrazo a toda esa gente  jóvenes en su mayoría  que han hecho viaje express para cumplir con Gracias;1.0;0.0;
271;1  00 ARRANCA EL PARTIDO EN EL CAMP NOU;1.0;0.0;
272;Muy afectada como muchísima gente por lo ocurrido a  lo llevo por dentro  Me gusta saber y estar informada pero no voy a recrearme viendo imágenes y escuchando  información  que solamente da vueltas a lo mismo una y otra vez;-1.0;1.0; gust(1.0) no(0.0)
273;QUÉ  CAPITULAZO  DE  JUEGO  DE  TRONOS  MADRE  MÍA  UFFF  ESPECTACULAR  ÉPICO  SIN  PALABRAS  GRACIAS;1.0;-1.0; tron(-1.0)
274; La derecha iba a dar un golpe sobre la mesa   PUAJAJAJAJAJAJAJAJAJ ME MEO;1.0;-1.0; golp(-1.0)
275;Este año seguro es del Barça No está su demonio ;1.0;0.0; segur(1.0) no(0.0) demoni(-1.0)
276;Trágica perdida patrimonial y para los los aplausos espontáneos de ciudadanos  son la mejor manera de reconocimiento al buen trabajo realizado ;-1.0;1.0; perd(-1.0) mejor(1.0) buen(1.0)
277;Listas las palomitas  Tablet cargada al máximo  Venga que se acerca el invierno Dale a LIKE si tú también eres FAN;1.0;0.0;
278;Yo   no me encuentro bien  ;-1.0;1.0; no(0.0) bien(1.0)
279;Enhorabuena al por su liga  nuevamente ;1.0;0.0;
280;Se requieren actualmente  medidas estructurales  para poder enfrentar  los problemas ambientales ;1.0;-1.0; enfrent(-1.0)
281;La amo  tiene 16 años y ya tiene un pensamiento que a mi me ha tocado décadas configurar  y es más consciente que millones de adultos juntos ;1.0;0.0;
282;volviendo a ver el último capítulo otra vez  expectacular en todo para mi la mejor serie de la TV gracias por tanto ;1.0;0.0; mejor(1.0) seri(-1.0)
283;Y después del alivio tras ver los resultados de las  toca sufrir por el 8x03 de  que se nos olvida que ahí sí va a haber drama;1.0;-1.0; alivi(1.0) sufr(-1.0) olvid(-1.0) dram(-1.0)
284;Libros  caminos y días  dan al hombre sabiduría ;1.0;0.0;
285;Salven la corona de espinas  por favor  ;-1.0;0.0;
286;Gracias a los miles de españoles que nos han acompañado en los mítines más multitudinarios de esta campaña  NO les vamos a defraudar Santiago Abascal;1.0;0.0; no(0.0)
287;No puedo evitar los pelos de punta  la piel de gallina  los escalofríos calosfríos  cuando escucho ese himno;1.0;-1.0; no(0.0) evit(-1.0) pel(-1.0) escalofri(-1.0)
288;mientras se reconstruye nuestra hermosa lo acogeremos en nuestros corazón  Estamos triste pero renacerá como el ave fénix;-1.0;0.0; reconstru(-1.0) hermos(1.0) trist(-1.0) renac(1.0)
289;Vaya golazo de falta de Messi;1.0;-1.0; falt(-1.0)
290;Que respiro me ha dado que los de la sexta digan que es casi imposible que pueda gobernar la derecha;1.0;0.0;
291;Por fin la izquierda grita Viva España  A costado;1.0;0.0; grit(-1.0) viv(1.0)
292;Disfrutando y sufriendo con el mega espectacular tercer capítulo de a pesar de la oscuridad de los planos  Esto sí que es  avanzar en la trama   Bravo;1.0;0.0; disfrut(1.0) sufr(-1.0) pes(-1.0) oscur(-1.0) avanz(1.0) brav(1.0)
293;Messi una vez mas Campeon de la;1.0;0.0;
294;Estoy llorando  viva mi por haber podido ver a Messi en el Nervión;1.0;0.0; llor(-1.0) viv(1.0)
295;Y ganaron Esperando lo que sigue con ansias lt  3;1.0;0.0; gan(1.0) ansi(-1.0)
296;El episodio 3 de ha estado a la altura de las expectativas  Esta noche toca revisionado con todas las luces apagadas;1.0;0.0; expect(1.0) apag(-1.0)
297;Hasta ahorita me conecto  Y solo tengo que decir  Messi lo hace ver taaaaaan fácil;1.0;0.0;
298;Fuerza Francia en esta hora triste  Pronto volverá hermosa Nuestra Señora;-1.0;1.0; fuerz(1.0) trist(-1.0) hermos(1.0)
299;Qué bonito homenaje en el Precioso ;1.0;0.0;
300;He evitado durante todo el día las redes sociales para evitar spoilers de y ha merecido cada maldito segundo de espera ;1.0;-1.0; evit(-1.0) evit(-1.0) maldit(-1.0)
301;Una novela que trasciende más allá de los límites  EL ACUARIO OSCURO DE LA MENTE de;1.0;-1.0; limit(-1.0) oscur(-1.0)
302;el centrista apoya a con jijiji me pierdo chupito;1.0;0.0;
303;Que te inviten a conocer su casa es bonito  que te inviten a ver su biblioteca  es incomparable;1.0;0.0;
304;Al igual que os eche la bronca el lunes pasado  hoy os doy las gracias por no hacer spoiler  Al Cesar lo que es del Cesar  Capitulo sin palabras  y muchas emociones  JODER ;1.0;-1.0; bronc(-1.0) no(0.0) ces(-1.0) ces(-1.0)
305;Me hubiese gustado una España teñida de morada pero no puedo ocultar mi orgullo de ver esta estampa ElecccionesGenerales28A;1.0;-1.0; gust(1.0) mor(-1.0) no(0.0) ocult(-1.0)
306;He estado con el ojete apretado durante todo el puto capítulo  EL MEJOR CAPÍTULO DE JUEGO DE TRONOS POR DIOS ;1.0;-1.0; apret(-1.0) mejor(1.0) tron(-1.0)
307;Esto nada más es suficiente para que desembarque el Comando Sur de USA YA ;1.0;0.0;
308;España se va a la mierda   recemos por favor;-1.0;0.0;
309;Hoy en llega la batalla esperada   La foto es graciosa porque lleva media hora para que salgan esas sombras;1.0;0.0; gracios(1.0) sombr(-1.0)
310;Fer describe muy bien el conflicto de  al final  el único perdedor ha sido el pueblo ;-1.0;0.0; bien(1.0) conflict(-1.0)
311;Se puede estar enamorado de una serie  Porque te amo Juego de Tronos ;1.0;-1.0; seri(-1.0) tron(-1.0)
312;El grito de los jóvenes contra el cambio climático se convierte en global Sociedad EL PAÍS Orgullosa de escuchar cada día el grito de mis hijas contra el cambio climático;1.0;0.0; grit(-1.0) cambi(1.0) grit(-1.0) cambi(1.0)
313;GRACIAS Vox por unir a España  Habéis cumplido con vuestro objetivo  ya os podéis ir ;1.0;0.0;
314;Yo no tengo fotos en la cátedral de pero voy poner la última foto de cuando estuve en París a modo de tributo ;-1.0;0.0; no(0.0)
315;FC Barcelona Campeón de Gracias Equipo;1.0;0.0;
316;Os presentamos a Santa Arya Stark ;1.0;0.0;
317;Gracias a mi madre pude conocer en un viaje de reencuentro entre padre e hijo por Europa  el corazón se me hace pequeño cuando se ratifica lo efímera que es la vida  Hoy estamos aquí y mañana no  Más de 800 años de historia ardieron pero jamas el resultado del viaje;1.0;0.0; no(0.0)
318;lucha contra el  conoce la gran determinación de esta pequeña de 16 años ;1.0;0.0;
319;Gracias por haber elegido jugar fútbol en este planeta ;1.0;0.0;
320;Leyenda Messi 600 goles de Leo con la camiseta del Barcelona ;1.0;0.0;
321;Barcelona Campeón Gracias Messi por tanto Ahora vamos por la y Triplete a la vista;1.0;0.0;
322;BARCELONA CAMPEÓN se consagra otra vez con y ahora va por todo  El argentino saltó desde el banco en el complemento ante y le dio al equipo culé  Décima liga en quince años para el elenco catalán  Detalles;1.0;0.0;
323;Hola he encontrado esto hoy  genial forma de difundir en el  gracias ;1.0;0.0;
324;Oís eso  ES EL SILENCIO  el silencio de de la derecha acojonada viendo como la izquierda va acabar gobernando;1.0;-1.0; silenci(-1.0) silenci(-1.0)
325;la gran mayoría de los españoles esperamos tu unión con y que nos des la alegría  junto con Esquerra  para conseguir la mayoría;-1.0;1.0; alegr(1.0)
326;y la nostalgia de muchos  seguro;-1.0;0.0; nostalgi(-1.0) segur(1.0)
327;No hay nada como la emoción de leer un libro nuevo y poder viajar entre las historias de sus páginas ;1.0;0.0; no(0.0)
328;Hoy toca aplaudir al eterno rival  como en muchas otras ligas  El que todavía dude el genio que es Messi que se quite la venda de los ojos  y;1.0;-1.0; aplaud(1.0) rival(-1.0) quit(-1.0)
329;Al final el odio y la mala política no ha ganado;1.0;-1.0; odi(-1.0) mal(-1.0) no(0.0) gan(1.0)
330;Hoy he leído cosas tan bonitas en razón del ojalá así fuera Twitter todos los días ;1.0;0.0;
331;Se trata de leer y hacer tuyos los libros  Ellos cuentan tu historia de vida y te acompañan  Gracias a ellos y con ellos  te descubres  descubres al otro  sus páginas abren tu mundo y te permiten comprender con cercanía la experiencia humana  Los libros nos humanizan;1.0;0.0;
332; estaba en al momento del incendio EN  Así lo vivió;-1.0;0.0; incendi(-1.0) viv(1.0)
333;Enhorabuena vi el capítulo totalmente a oscuras  Una maravilla de producción  A pesar de los vacíos argumentales en el guión  Visualmente es épico;1.0;-1.0; oscur(-1.0) maravill(1.0) pes(-1.0) vaci(-1.0)
334;200  000 niños y niñas de nuestro país ya han participado en  una nueva iniciativa surgida a partir de las protestas de la estudiante sueca;1.0;-1.0; protest(-1.0)
335;Entiendo que existan gustos para todo  pero después de lo que acabo de ver esta madrugada en puedo decir que es una de las series mas épicas que he visto en mi vida  Me voy a dormir   y asimilar lo que ha pasado ;1.0;0.0; gust(1.0) seri(-1.0)
336;CON DOS COJONES SI SEÑOR;1.0;0.0;
337;Enhorabuena al por el título de 2018 2019;1.0;0.0;
338;El  Ya cayó  Ya cayó  Nicolás ya cayó  ;1.0;0.0;
339;Aquellos que ayer se sentían descorazonados  hoy tienen más ánimo  No podemos desfallecer  debemos confiar en que si existe un plan  Todo ocurrirá en su debido y preciso momento  No debemos sucumbir a las pasiones  es momento que prevalezca la razón  Por una Libre;1.0;-1.0; sent(-1.0) descorazon(-1.0) anim(1.0) no(0.0) desfallec(-1.0) confi(1.0) no(0.0) sucumb(-1.0)
340;Pero que lindo que es el fútbol pibe Que lindo es ver jugar a Messi;1.0;0.0;
341;Qué maravilla la derrota de VOX;1.0;0.0; maravill(1.0) derrot(-1.0)
342;Messi te amo  Qué golazo por favor ;1.0;0.0;
343;Fue su  ahora la catedral de  Por Jesucristo redentor  párenle al mame ;-1.0;0.0;
344;QUE FINAL TE AMO ARYA;1.0;0.0;
345;Debido a sus esfuerzos para combatir el y salvar al  así como por inspirar a los jóvenes de todo el mundo a luchar por lo mismo  la sueca Thunberg fue nominada  a sus 16 años  como candidata al ;1.0;0.0;
346; En La Paz  en estos momentos  concentración en apoyo al Presidente y el pueblo demócrata de  Gracias Bolivia ;1.0;0.0;
347;Lo estoy pasando muy mal;-1.0;0.0;
348;La izquierda arrasa y frena a la ultraderecha Hoy he recuperado la fe en la humanidad y hoy sí me siento orgulloso de ser español VIVAAA ESPAÑAAA;1.0;0.0; arras(-1.0) recuper(1.0)
349;8 ligas en 11 años;1.0;0.0;
350;Como mujer  LGTB y como periodista no os imagináis lo que agradezco que mi país haya respondido en las urnas contra la violencia y el odio de la extrema derecha ;1.0;-1.0; no(0.0) violenci(-1.0) odi(-1.0)
351;Nuestro lema lo dice  MÁS QUE UN CLUB  Campeones de;1.0;0.0;
352;Estoy mazo nervioso con este capítulo de AY Solo quiero a Sansa viva  con eso soy feliz;1.0;0.0; nervios(-1.0) ay(-1.0) viv(1.0) feliz(1.0)
353;Amo al Real Madrid y amo a Cristiano  pero debo decir lo siguiente  MESSI ES UN MONSTRUO ;1.0;-1.0; monstru(-1.0)
354;En iniciamos una serie de donde contaremos sobre el Hablamos de la activista más joven del planeta y que está dando mucho que hablar ;1.0;0.0; seri(-1.0) activ(1.0)
355;un mundo triste pues jajajjaja;1.0;-1.0; trist(-1.0)
356;El momento es ahora Vamos que si se puede;1.0;0.0;
357;Me cago en mi puta vida  vaya CAPITULAZOOOO Sólo diré que es mejor verlo con la luz apagada y las persianas echadas  porque visualmente es muy oscuro y si no  no se ve na  Y que es el más brutal de la serie hasta ahora  Na más  A sufrirlo y a disfrutarlo;1.0;-1.0; mejor(1.0) apag(-1.0) oscur(-1.0) no(0.0) no(0.0) brutal(-1.0) seri(-1.0) sufr(-1.0) disfrut(1.0)
358;Nominan a Greta Thunberg  de 16 años  al Nobel de la Paz tiene apenas 16 años y ya se ha convertido en la cara del movimiento estudiantil contra el;1.0;-1.0; apen(-1.0)
359;ME CAGO EN LA PUTA MADRE JODER TE AMOOOOOO;1.0;0.0;
360;Estan conscientes que esta noche nos toca despedirnos de algunos personajes de;-1.0;0.0;
361;Lo único que yo veo hoy  es que no existe ningún apoyo internacional a ni a los;-1.0;0.0; no(0.0)
362;Lo estamos viviendo aquí en EEUU  familias que dejan de hablarse  amigos que dejan de serlo  Comprendo como nadie el sentimiento  pero esto solo alimenta el rencor y el extremismo de quien nos rodea  y nos impide avanzar  Seamos mejores ;-1.0;1.0; viv(1.0) sentimient(-1.0) rencor(-1.0) avanz(1.0) mejor(1.0)
363;Ayer estaba muy asustado  pero me equivoqué  Resulta que han perdido Casado  Abascal y Puigdemont  Hoy me gusta un poco más mi país;1.0;0.0; perd(-1.0) gust(1.0)
